schwebung 39.2cm
0.025 -1.448 4.600
0.050 -0.738 4.260
0.083 -0.316 4.065
0.108 -0.050 3.919
0.133 0.150 3.798
0.158 0.461 3.628
0.183 0.616 3.409
0.208 0.860 3.215
0.233 1.082 2.996
0.258 1.216 2.826
0.283 1.371 2.583
0.308 1.460 2.364
0.333 1.526 2.121
0.358 1.571 1.878
0.383 1.615 1.659
0.408 1.593 1.465
0.433 1.593 1.222
0.458 1.526 1.052
0.483 1.438 0.882
0.508 1.304 0.760
0.533 1.127 0.639
0.558 0.905 0.493
0.583 0.705 0.420
0.608 0.483 0.323
0.633 0.261 0.226
0.658 -0.028 0.226
0.683 -0.272 0.201
0.708 -0.538 0.177
0.733 -0.805 0.201
0.758 -1.138 0.250
0.783 -1.337 0.201
0.808 -1.715 0.299
0.833 -1.937 0.372
0.858 -2.203 0.469
0.883 -2.425 0.615
0.908 -2.669 0.760
0.933 -2.891 0.858
0.958 -3.091 1.003
0.983 -3.313 1.149
1.008 -3.446 1.271
1.033 -3.557 1.392
1.058 -3.668 1.489
1.083 -3.691 1.587
1.108 -3.802 1.732
1.133 -3.735 1.781
1.158 -3.757 1.878
1.183 -3.646 1.951
1.208 -3.602 1.975
1.233 -3.469 2.024
1.258 -3.358 2.097
1.283 -3.136 2.145
1.308 -2.980 2.194
1.333 -2.780 2.218
1.358 -2.536 2.170
1.383 -2.225 2.170
1.408 -1.959 2.194
1.433 -1.715 2.121
1.458 -1.382 2.097
1.483 -1.049 2.048
1.508 -0.849 2.000
1.533 -0.472 1.927
1.558 -0.227 1.902
1.583 0.083 1.878
1.608 0.372 1.854
1.633 0.661 1.732
1.658 0.883 1.757
1.683 1.082 1.732
1.708 1.260 1.708
1.733 1.438 1.611
1.758 1.615 1.635
1.783 1.726 1.659
1.808 1.771 1.708
1.833 1.815 1.708
1.858 1.793 1.684
1.883 1.859 1.708
1.908 1.837 1.830
1.933 1.771 1.830
1.958 1.593 1.902
1.983 1.482 1.951
2.008 1.327 2.000
2.033 1.171 2.048
2.058 0.883 2.121
2.083 0.638 2.243
2.108 0.372 2.316
2.133 0.083 2.413
2.158 -0.183 2.486
2.183 -0.449 2.486
2.208 -0.827 2.534
2.233 -1.049 2.583
2.258 -1.360 2.631
2.283 -1.648 2.631
2.308 -1.915 2.656
2.333 -2.159 2.656
2.358 -2.425 2.656
2.383 -2.669 2.559
2.408 -2.914 2.510
2.433 -3.047 2.510
2.458 -3.247 2.437
2.483 -3.380 2.316
2.508 -3.535 2.243
2.533 -3.602 2.097
2.558 -3.646 2.000
2.583 -3.757 1.854
2.608 -3.713 1.684
2.633 -3.624 1.489
2.658 -3.602 1.368
2.683 -3.513 1.222
2.708 -3.402 1.028
2.733 -3.247 0.833
2.758 -3.091 0.663
2.783 -2.869 0.469
2.808 -2.692 0.347
2.833 -2.425 0.201
2.858 -2.181 0.104
2.883 -1.937 0.007
2.908 -1.737 -0.139
2.933 -1.426 -0.236
2.958 -1.160 -0.236
2.983 -0.871 -0.357
3.008 -0.627 -0.333
3.033 -0.383 -0.284
3.058 -0.139 -0.284
3.083 0.194 -0.260
3.108 0.372 -0.139
3.133 0.572 -0.017
3.158 0.749 0.153
3.183 0.905 0.274
3.208 1.060 0.445
3.233 1.216 0.615
3.258 1.238 0.858
3.283 1.349 1.125
3.308 1.415 1.368
3.333 1.415 1.611
3.358 1.393 1.927
3.383 1.371 2.170
3.408 1.238 2.461
3.433 1.149 2.753
3.458 0.994 2.996
3.483 0.860 3.215
3.508 0.749 3.506
3.533 0.550 3.676
3.558 0.350 3.944
3.583 0.150 4.138
3.608 -0.028 4.332
3.633 -0.316 4.405
3.658 -0.538 4.551
3.683 -0.760 4.673
3.708 -0.982 4.746
3.733 -1.204 4.721
3.758 -1.448 4.794
3.783 -1.648 4.648
3.808 -1.937 4.600
3.833 -2.048 4.454
3.858 -2.270 4.332
3.883 -2.403 4.162
3.908 -2.558 3.944
3.933 -2.669 3.725
3.958 -2.780 3.433
3.983 -2.825 3.142
4.008 -2.914 2.850
4.033 -2.958 2.486
4.058 -2.958 2.170
4.083 -2.936 1.732
4.108 -2.914 1.344
4.133 -2.869 0.930
4.158 -2.780 0.615
4.183 -2.669 0.274
4.208 -2.647 -0.041
4.233 -2.447 -0.382
4.258 -2.314 -0.698
4.283 -2.225 -1.013
4.308 -2.048 -1.256
4.333 -1.826 -1.499
4.358 -1.693 -1.670
4.383 -1.559 -1.864
4.408 -1.337 -1.985
4.433 -1.160 -2.058
4.458 -0.960 -2.131
4.483 -0.805 -2.107
4.508 -0.671 -2.010
4.533 -0.494 -1.913
4.558 -0.338 -1.767
4.583 -0.205 -1.621
4.608 -0.072 -1.402
4.633 0.039 -1.159
4.658 0.128 -0.843
4.683 0.239 -0.552
4.708 0.239 -0.187
4.733 0.305 0.153
4.758 0.328 0.542
4.783 0.350 0.955
4.808 0.328 1.392
4.833 0.328 1.805
4.858 0.328 2.267
4.883 0.261 2.729
4.908 0.172 3.142
4.933 0.150 3.579
4.958 0.083 3.968
4.983 -0.072 4.308
5.008 -0.227 4.673
5.033 -0.294 4.989
5.058 -0.405 5.280
5.083 -0.516 5.499
5.108 -0.671 5.718
5.133 -0.760 5.888
5.158 -0.893 6.009
5.183 -0.982 6.058
5.208 -1.115 6.082
5.233 -1.204 6.034
5.258 -1.315 5.985
5.283 -1.382 5.888
5.308 -1.515 5.669
5.333 -1.582 5.402
5.358 -1.604 5.159
5.383 -1.670 4.891
5.408 -1.715 4.575
5.433 -1.670 4.138
5.458 -1.737 3.774
5.483 -1.759 3.288
5.508 -1.781 2.826
5.533 -1.737 2.316
5.558 -1.759 1.902
5.583 -1.693 1.392
5.608 -1.670 0.930
5.633 -1.604 0.420
5.658 -1.582 -0.017
5.683 -1.537 -0.455
5.708 -1.448 -0.892
5.733 -1.382 -1.305
5.758 -1.315 -1.572
5.783 -1.293 -1.888
5.808 -1.271 -2.253
5.833 -1.160 -2.496
5.858 -1.160 -2.642
5.883 -1.115 -2.812
5.908 -1.027 -2.909
5.933 -1.004 -2.982
5.958 -0.916 -2.909
5.983 -0.893 -2.860
6.008 -0.871 -2.739
6.033 -0.893 -2.544
6.058 -0.916 -2.301
6.083 -0.849 -2.131
6.108 -0.916 -1.864
6.133 -0.827 -1.427
6.158 -0.916 -1.062
6.183 -0.938 -0.649
6.208 -0.938 -0.236
6.233 -0.938 0.299
6.258 -0.982 0.687
6.283 -0.982 1.198
6.308 -1.071 1.757
6.333 -1.004 2.218
6.358 -1.027 2.729
6.383 -1.138 3.166
6.408 -1.182 3.676
6.433 -1.182 4.114
6.458 -1.138 4.478
6.483 -1.138 4.867
6.508 -1.226 5.232
6.533 -1.160 5.499
6.558 -1.182 5.766
6.583 -1.160 6.009
6.608 -1.115 6.204
6.633 -1.093 6.276
6.658 -1.115 6.325
6.683 -1.093 6.349
6.708 -1.049 6.349
6.733 -0.960 6.204
6.758 -0.938 6.082
6.783 -0.827 5.936
6.808 -0.805 5.693
6.833 -0.738 5.353
6.858 -0.738 5.037
6.883 -0.671 4.697
6.908 -0.583 4.284
6.933 -0.494 3.871
6.958 -0.427 3.458
6.983 -0.405 2.972
