schwebung 39.2cm
7.008 -0.338 2.486
7.033 -0.316 2.024
7.058 -0.316 1.562
7.083 -0.294 1.076
7.108 -0.272 0.615
7.133 -0.250 0.153
7.158 -0.294 -0.284
7.183 -0.294 -0.722
7.208 -0.361 -1.013
7.233 -0.338 -1.354
7.258 -0.405 -1.694
7.283 -0.472 -1.985
7.308 -0.583 -2.180
7.333 -0.627 -2.374
7.358 -0.738 -2.520
7.383 -0.827 -2.617
7.408 -0.938 -2.569
7.433 -1.049 -2.569
7.458 -1.204 -2.569
7.483 -1.271 -2.447
7.508 -1.426 -2.277
7.533 -1.493 -2.058
7.558 -1.648 -1.742
7.583 -1.693 -1.524
7.608 -1.848 -1.232
7.633 -1.981 -0.941
7.658 -2.026 -0.552
7.683 -2.159 -0.163
7.708 -2.225 0.347
7.733 -2.248 0.736
7.758 -2.381 1.198
7.783 -2.381 1.538
7.808 -2.425 2.048
7.833 -2.403 2.389
7.858 -2.359 2.850
7.883 -2.381 3.239
7.908 -2.336 3.628
7.933 -2.248 3.992
7.958 -2.159 4.308
7.983 -2.092 4.600
8.008 -2.026 4.818
8.033 -1.870 5.013
8.058 -1.737 5.183
8.083 -1.537 5.377
8.108 -1.404 5.426
8.133 -1.226 5.523
8.158 -1.115 5.475
8.183 -0.893 5.450
8.208 -0.738 5.353
8.233 -0.538 5.232
8.258 -0.338 5.086
8.283 -0.139 4.867
8.308 -0.050 4.673
8.333 0.172 4.405
8.358 0.305 4.114
8.383 0.461 3.749
8.408 0.594 3.458
8.433 0.705 3.166
8.458 0.772 2.826
8.483 0.860 2.413
8.508 0.905 2.073
8.533 0.994 1.732
8.558 0.927 1.416
8.583 0.927 1.076
8.608 0.905 0.663
8.633 0.794 0.347
8.658 0.727 0.104
8.683 0.683 -0.187
8.708 0.527 -0.430
8.733 0.394 -0.625
8.758 0.217 -0.819
8.783 0.039 -0.989
8.808 -0.161 -1.086
8.833 -0.383 -1.184
8.858 -0.583 -1.232
8.883 -0.849 -1.256
8.908 -1.071 -1.208
8.933 -1.226 -1.184
8.958 -1.515 -1.086
8.983 -1.737 -1.013
9.008 -1.937 -0.819
9.033 -2.137 -0.649
9.058 -2.381 -0.455
9.083 -2.536 -0.260
9.108 -2.736 -0.017
9.133 -2.847 0.177
9.158 -3.025 0.469
9.183 -3.091 0.712
9.208 -3.224 1.003
9.233 -3.247 1.271
9.258 -3.335 1.538
9.283 -3.335 1.830
9.308 -3.313 2.097
9.333 -3.291 2.340
9.358 -3.335 2.559
9.383 -3.180 2.753
9.408 -3.113 2.972
9.433 -2.914 3.093
9.458 -2.758 3.312
9.483 -2.625 3.409
9.508 -2.403 3.506
9.533 -2.159 3.579
9.558 -1.937 3.628
9.583 -1.693 3.652
9.608 -1.448 3.676
9.633 -1.138 3.652
9.658 -0.893 3.628
9.683 -0.605 3.579
9.708 -0.361 3.506
9.733 -0.072 3.361
9.758 0.150 3.263
9.783 0.394 3.166
9.808 0.638 3.020
9.833 0.860 2.874
9.858 1.016 2.729
9.883 1.216 2.559
9.908 1.415 2.437
9.933 1.549 2.218
9.958 1.571 2.048
9.983 1.682 1.878
10.008 1.682 1.805
10.033 1.682 1.611
10.058 1.615 1.514
10.083 1.571 1.368
10.108 1.504 1.271
10.133 1.371 1.173
10.158 1.171 1.076
10.183 1.082 0.955
10.208 0.860 0.955
10.233 0.661 0.858
10.258 0.372 0.833
10.283 0.128 0.833
10.308 -0.116 0.882
10.333 -0.405 0.858
10.358 -0.671 0.882
10.383 -0.938 0.882
10.408 -1.271 0.955
10.433 -1.559 0.930
10.458 -1.826 1.003
10.483 -2.159 1.052
10.508 -2.403 1.125
10.533 -2.581 1.198
10.558 -2.847 1.319
10.583 -3.025 1.368
10.608 -3.247 1.489
10.633 -3.358 1.514
10.658 -3.513 1.538
10.683 -3.624 1.635
10.708 -3.668 1.684
10.733 -3.713 1.684
10.758 -3.757 1.708
10.783 -3.735 1.708
10.808 -3.757 1.757
10.833 -3.602 1.757
10.858 -3.557 1.805
10.883 -3.380 1.757
10.908 -3.202 1.708
10.933 -3.047 1.684
10.958 -2.847 1.659
10.983 -2.581 1.611
11.008 -2.359 1.562
11.033 -2.092 1.489
11.058 -1.826 1.489
11.083 -1.515 1.441
11.108 -1.249 1.416
11.133 -0.916 1.344
11.158 -0.694 1.344
11.183 -0.361 1.295
11.208 -0.072 1.222
11.233 0.172 1.222
11.258 0.416 1.246
11.283 0.661 1.222
11.308 0.883 1.271
11.333 1.127 1.319
11.358 1.260 1.368
11.383 1.438 1.344
11.408 1.549 1.441
11.433 1.637 1.538
11.458 1.682 1.587
11.483 1.771 1.635
11.508 1.771 1.805
11.533 1.726 1.902
11.558 1.660 2.024
11.583 1.593 2.145
11.608 1.415 2.218
11.633 1.260 2.413
11.658 1.105 2.534
11.683 0.905 2.559
11.708 0.638 2.680
11.733 0.439 2.802
11.758 0.239 2.899
11.783 -0.072 2.972
11.808 -0.361 3.093
11.833 -0.627 3.093
11.858 -0.893 3.190
11.883 -1.160 3.239
11.908 -1.471 3.239
11.933 -1.759 3.239
11.958 -1.981 3.263
11.983 -2.203 3.215
12.008 -2.470 3.093
12.033 -2.692 2.972
12.058 -2.847 2.947
12.083 -3.002 2.802
12.108 -3.113 2.656
12.133 -3.247 2.510
12.158 -3.402 2.340
12.183 -3.424 2.170
12.208 -3.535 2.024
12.233 -3.469 1.805
12.258 -3.446 1.611
12.283 -3.424 1.319
12.308 -3.313 1.101
12.333 -3.247 0.833
12.358 -3.136 0.639
12.383 -2.980 0.445
12.408 -2.825 0.177
12.433 -2.625 0.007
12.458 -2.447 -0.163
12.483 -2.203 -0.333
12.508 -1.959 -0.479
12.533 -1.804 -0.625
12.558 -1.537 -0.746
12.583 -1.249 -0.795
12.608 -0.960 -0.843
12.633 -0.760 -0.868
12.658 -0.538 -0.819
12.683 -0.272 -0.770
12.708 -0.072 -0.673
12.733 0.128 -0.625
12.758 0.328 -0.479
12.783 0.505 -0.284
12.808 0.638 -0.066
12.833 0.772 0.080
12.858 0.949 0.347
12.883 0.994 0.566
12.908 1.060 0.858
12.933 1.127 1.198
12.958 1.149 1.489
12.983 1.105 1.830
13.008 1.038 2.097
13.033 0.994 2.437
13.058 0.949 2.777
13.083 0.816 3.020
13.108 0.705 3.361
13.133 0.616 3.603
13.158 0.439 3.895
13.183 0.261 4.187
13.208 0.106 4.357
13.233 -0.116 4.600
13.258 -0.338 4.770
13.283 -0.538 4.891
13.308 -0.716 5.013
13.333 -0.916 5.061
13.358 -1.093 5.110
13.383 -1.293 5.134
13.408 -1.471 5.086
13.433 -1.670 4.989
13.458 -1.870 4.891
13.483 -2.003 4.697
13.508 -2.137 4.527
13.533 -2.248 4.284
13.558 -2.336 4.065
13.583 -2.381 3.749
13.608 -2.514 3.409
13.633 -2.581 3.093
13.658 -2.581 2.704
13.683 -2.603 2.291
13.708 -2.581 1.902
13.733 -2.581 1.538
13.758 -2.625 1.101
13.783 -2.470 0.687
13.808 -2.403 0.299
13.833 -2.292 -0.066
13.858 -2.225 -0.406
13.883 -2.181 -0.746
13.908 -2.003 -1.086
13.933 -1.804 -1.378
13.958 -1.737 -1.694
13.983 -1.626 -1.864
14.008 -1.471 -2.010
14.033 -1.315 -2.180
14.058 -1.204 -2.301
14.083 -1.027 -2.374
14.108 -0.938 -2.350
14.133 -0.805 -2.350
14.158 -0.671 -2.228
14.183 -0.560 -2.083
14.208 -0.449 -1.913
14.233 -0.361 -1.718
14.258 -0.250 -1.475
14.283 -0.161 -1.184
14.308 -0.139 -0.819
14.333 -0.094 -0.455
14.358 -0.072 -0.066
14.383 -0.116 0.323
14.408 -0.050 0.760
14.433 -0.050 1.198
14.458 -0.094 1.659
14.483 -0.072 2.097
14.508 -0.116 2.510
14.533 -0.116 2.972
14.558 -0.227 3.433
14.583 -0.272 3.822
14.608 -0.338 4.260
14.633 -0.427 4.624
14.658 -0.538 4.940
14.683 -0.605 5.232
14.708 -0.694 5.547
14.733 -0.738 5.742
14.758 -0.805 5.912
14.783 -0.938 6.034
14.808 -1.004 6.106
14.833 -1.093 6.131
14.858 -1.115 6.131
14.883 -1.204 6.082
14.908 -1.226 5.961
14.933 -1.337 5.766
14.958 -1.337 5.547
14.983 -1.315 5.329
15.008 -1.404 5.013
15.033 -1.404 4.648
15.058 -1.382 4.308
15.083 -1.360 3.895
15.108 -1.382 3.506
15.133 -1.337 3.045
15.158 -1.337 2.607
15.183 -1.293 2.097
15.208 -1.293 1.611
15.233 -1.271 1.149
15.258 -1.204 0.639
15.283 -1.182 0.201
15.308 -1.160 -0.260
15.333 -1.138 -0.673
15.358 -1.115 -1.062
15.383 -1.115 -1.402
15.408 -1.027 -1.767
15.433 -1.004 -2.107
15.458 -0.960 -2.326
15.483 -1.027 -2.544
15.508 -1.027 -2.690
15.533 -1.004 -2.787
15.558 -0.960 -2.836
15.583 -1.004 -2.885
15.608 -1.027 -2.787
15.633 -1.027 -2.690
15.658 -1.071 -2.593
15.683 -1.071 -2.399
15.708 -1.071 -2.131
15.733 -1.115 -1.888
15.758 -1.071 -1.524
15.783 -1.160 -1.184
15.808 -1.226 -0.795
15.833 -1.271 -0.430
15.858 -1.315 0.080
15.883 -1.337 0.493
15.908 -1.382 1.003
15.933 -1.404 1.514
15.958 -1.404 1.975
15.983 -1.471 2.486
16.008 -1.471 2.923
16.033 -1.515 3.361
16.058 -1.471 3.774
16.083 -1.537 4.211
16.108 -1.448 4.551
16.133 -1.471 4.916
16.158 -1.448 5.183
16.183 -1.404 5.450
16.208 -1.337 5.693
16.233 -1.315 5.888
16.258 -1.271 5.985
16.283 -1.182 6.082
16.308 -1.093 6.131
16.333 -0.982 6.106
16.358 -0.916 6.058
16.383 -0.805 5.912
16.408 -0.694 5.718
16.433 -0.627 5.523
16.458 -0.538 5.304
16.483 -0.494 4.940
16.508 -0.405 4.673
16.533 -0.272 4.357
16.558 -0.183 3.944
16.583 -0.161 3.506
16.608 -0.072 3.142
16.633 -0.050 2.680
16.658 -0.028 2.267
16.683 0.039 1.757
16.708 0.083 1.319
16.733 0.106 0.906
16.758 0.061 0.469
16.783 0.017 0.031
16.808 0.017 -0.309
16.833 0.017 -0.722
16.858 -0.094 -1.013
16.883 -0.183 -1.305
16.908 -0.250 -1.524
16.933 -0.361 -1.767
16.958 -0.472 -1.888
16.983 -0.583 -2.058
17.008 -0.694 -2.156
17.033 -0.849 -2.204
17.058 -0.960 -2.253
17.083 -1.138 -2.228
17.108 -1.315 -2.180
17.133 -1.448 -2.010
17.158 -1.604 -1.791
17.183 -1.737 -1.524
17.208 -1.892 -1.354
17.233 -1.981 -1.062
17.258 -2.137 -0.795
17.283 -2.270 -0.455
17.308 -2.336 -0.114
17.333 -2.425 0.299
17.358 -2.514 0.615
17.383 -2.581 1.028
17.408 -2.603 1.392
17.433 -2.625 1.781
17.458 -2.669 2.170
17.483 -2.625 2.583
17.508 -2.647 2.899
17.533 -2.581 3.239
17.558 -2.514 3.555
17.583 -2.403 3.846
17.608 -2.314 4.138
17.633 -2.203 4.332
17.658 -2.048 4.527
17.683 -1.848 4.697
17.708 -1.670 4.818
17.733 -1.537 4.916
17.758 -1.360 4.964
17.783 -1.182 4.989
17.808 -0.982 4.964
17.833 -0.782 4.940
17.858 -0.538 4.794
17.883 -0.316 4.673
17.908 -0.094 4.551
17.933 0.061 4.405
17.958 0.239 4.138
17.983 0.416 3.919
18.008 0.616 3.628
18.033 0.705 3.361
18.058 0.860 3.069
18.083 0.927 2.777
18.108 1.082 2.461
18.133 1.060 2.194
18.158 1.105 1.878
18.183 1.105 1.587
18.208 1.127 1.295
18.233 1.105 1.028
18.258 1.038 0.809
18.283 0.905 0.542
18.308 0.794 0.250
18.333 0.683 0.056
18.358 0.594 -0.114
18.383 0.394 -0.260
18.408 0.194 -0.406
18.433 -0.028 -0.479
18.458 -0.250 -0.552
18.483 -0.472 -0.600
18.508 -0.716 -0.649
18.533 -0.960 -0.649
18.558 -1.160 -0.527
18.583 -1.382 -0.479
18.608 -1.648 -0.430
18.633 -1.981 -0.333
18.658 -2.092 -0.187
18.683 -2.381 -0.017
18.708 -2.603 0.129
18.733 -2.803 0.299
18.758 -2.914 0.493
18.783 -3.069 0.663
18.808 -3.224 0.906
18.833 -3.335 1.101
18.858 -3.380 1.246
18.883 -3.491 1.465
18.908 -3.469 1.684
18.933 -3.491 1.878
18.958 -3.446 2.073
18.983 -3.424 2.243
19.008 -3.313 2.364
19.033 -3.202 2.559
19.058 -3.069 2.680
19.083 -2.891 2.777
19.108 -2.736 2.923
19.133 -2.492 2.947
19.158 -2.270 2.996
19.183 -2.070 3.045
19.208 -1.737 3.045
19.233 -1.493 3.020
19.258 -1.226 3.020
19.283 -0.982 2.996
19.308 -0.738 2.923
19.333 -0.494 2.923
19.358 -0.161 2.826
19.383 0.061 2.729
19.408 0.283 2.631
19.433 0.505 2.583
19.458 0.772 2.461
19.483 0.994 2.389
19.508 1.216 2.267
19.533 1.304 2.243
19.558 1.482 2.097
19.583 1.571 2.000
19.608 1.637 1.902
19.633 1.682 1.854
19.658 1.682 1.684
19.683 1.682 1.635
19.708 1.660 1.562
19.733 1.526 1.562
19.758 1.438 1.562
19.783 1.282 1.489
19.808 1.082 1.465
19.833 0.971 1.416
19.858 0.749 1.441
19.883 0.483 1.465
19.908 0.239 1.441
19.933 -0.005 1.465
19.958 -0.272 1.465
19.983 -0.605 1.538
20.008 -0.827 1.562
20.033 -1.160 1.587
20.058 -1.404 1.587
20.083 -1.759 1.635
20.108 -2.026 1.635
20.133 -2.270 1.732
20.158 -2.514 1.708
20.183 -2.736 1.781
20.208 -2.936 1.781
20.233 -3.091 1.854
20.258 -3.269 1.781
20.283 -3.424 1.805
20.308 -3.491 1.781
20.333 -3.602 1.781
20.358 -3.624 1.757
20.383 -3.646 1.732
20.408 -3.668 1.611
20.433 -3.624 1.611
20.458 -3.557 1.538
20.483 -3.491 1.489
20.508 -3.358 1.392
20.533 -3.202 1.368
20.558 -3.025 1.246
20.583 -2.891 1.198
20.608 -2.625 1.101
20.633 -2.359 1.052
20.658 -2.159 1.003
20.683 -1.870 0.906
20.708 -1.604 0.833
20.733 -1.382 0.785
20.758 -1.115 0.736
20.783 -0.849 0.712
20.808 -0.516 0.736
20.833 -0.272 0.712
20.858 0.017 0.712
20.883 0.217 0.809
20.908 0.483 0.809
20.933 0.661 0.833
20.958 0.927 0.882
20.983 1.038 1.003
21.008 1.238 1.101
21.033 1.393 1.173
21.058 1.482 1.295
21.083 1.504 1.441
21.108 1.593 1.635
21.133 1.571 1.781
21.158 1.549 1.927
21.183 1.504 2.097
21.208 1.460 2.291
21.233 1.304 2.486
21.258 1.216 2.607
21.283 1.038 2.753
21.308 0.883 2.899
21.333 0.705 3.117
21.358 0.483 3.215
21.383 0.194 3.288
21.408 -0.072 3.506
21.433 -0.338 3.603
21.458 -0.560 3.628
21.483 -0.805 3.676
21.508 -1.004 3.701
21.533 -1.293 3.798
21.558 -1.559 3.774
21.583 -1.804 3.774
21.608 -2.026 3.676
21.633 -2.225 3.603
21.658 -2.425 3.482
21.683 -2.625 3.409
21.708 -2.780 3.215
21.733 -2.958 3.020
21.758 -2.980 2.826
21.783 -3.113 2.631
21.808 -3.202 2.389
21.833 -3.247 2.170
21.858 -3.224 1.927
21.883 -3.247 1.635
21.908 -3.180 1.368
21.933 -3.158 1.076
21.958 -3.047 0.785
21.983 -2.980 0.517
22.008 -2.825 0.274
22.033 -2.714 0.056
22.058 -2.536 -0.284
22.083 -2.359 -0.430
22.108 -2.159 -0.649
22.133 -1.981 -0.843
22.158 -1.781 -0.989
22.183 -1.582 -1.086
22.208 -1.315 -1.184
22.233 -1.160 -1.208
22.258 -0.916 -1.208
22.283 -0.738 -1.208
22.308 -0.516 -1.208
22.333 -0.316 -1.135
22.358 -0.161 -1.038
22.383 -0.005 -0.892
22.408 0.239 -0.698
22.433 0.305 -0.430
22.458 0.416 -0.236
22.483 0.505 0.031
22.508 0.661 0.323
22.533 0.749 0.663
22.558 0.794 0.955
22.583 0.816 1.319
22.608 0.794 1.611
22.633 0.749 2.000
22.658 0.705 2.267
22.683 0.616 2.680
22.708 0.572 3.069
22.733 0.416 3.409
22.758 0.350 3.676
22.783 0.239 4.041
22.808 0.106 4.284
22.833 -0.005 4.575
22.858 -0.183 4.794
22.883 -0.383 5.013
22.908 -0.516 5.159
22.933 -0.694 5.304
22.958 -0.782 5.377
22.983 -1.027 5.426
23.008 -1.138 5.402
23.033 -1.360 5.353
23.058 -1.471 5.256
23.083 -1.648 5.183
23.108 -1.693 5.013
23.133 -1.804 4.867
23.158 -1.892 4.624
23.183 -2.070 4.357
23.208 -2.070 4.090
23.233 -2.159 3.725
23.258 -2.225 3.288
23.283 -2.270 2.947
23.308 -2.181 2.486
23.333 -2.248 2.145
23.358 -2.203 1.708
23.383 -2.181 1.246
23.408 -2.137 0.833
23.433 -2.181 0.469
23.458 -2.048 0.031
23.483 -2.003 -0.309
23.508 -1.892 -0.698
23.533 -1.826 -1.062
23.558 -1.715 -1.378
23.583 -1.604 -1.670
23.608 -1.559 -1.888
23.633 -1.404 -2.058
23.658 -1.293 -2.228
23.683 -1.182 -2.350
23.708 -1.071 -2.496
23.733 -1.071 -2.496
23.758 -0.938 -2.520
23.783 -0.849 -2.423
23.808 -0.738 -2.301
23.833 -0.649 -2.083
23.858 -0.649 -1.937
23.883 -0.560 -1.694
23.908 -0.494 -1.402
23.933 -0.494 -1.013
23.958 -0.472 -0.698
23.983 -0.427 -0.309
24.008 -0.449 0.056
24.033 -0.427 0.590
24.058 -0.361 0.979
24.083 -0.405 1.441
24.108 -0.494 1.854
24.133 -0.494 2.364
24.158 -0.472 2.802
24.183 -0.516 3.288
24.208 -0.560 3.676
24.233 -0.649 4.114
24.258 -0.694 4.454
24.283 -0.738 4.818
24.308 -0.805 5.183
24.333 -0.805 5.450
24.358 -0.893 5.645
24.383 -0.938 5.815
24.408 -0.960 5.961
24.433 -0.982 6.131
24.458 -1.093 6.204
24.483 -1.049 6.179
24.508 -1.049 6.131
24.533 -1.115 6.058
24.558 -1.093 5.912
24.583 -1.115 5.693
24.608 -1.071 5.450
24.633 -1.138 5.110
24.658 -1.160 4.818
24.683 -1.093 4.478
24.708 -1.049 4.114
24.733 -1.093 3.749
24.758 -1.027 3.288
24.783 -1.004 2.850
24.808 -0.960 2.316
24.833 -0.960 1.854
24.858 -0.938 1.441
24.883 -0.893 0.979
24.908 -0.893 0.517
24.933 -0.871 0.031
24.958 -0.827 -0.406
24.983 -0.827 -0.770
25.008 -0.827 -1.184
25.033 -0.827 -1.524
25.058 -0.871 -1.840
25.083 -0.849 -2.083
25.108 -0.849 -2.301
25.133 -0.849 -2.423
25.158 -0.938 -2.520
25.183 -1.004 -2.666
25.208 -0.960 -2.666
25.233 -0.982 -2.642
25.258 -1.071 -2.617
25.283 -1.182 -2.496
25.308 -1.226 -2.326
25.333 -1.315 -2.034
25.358 -1.315 -1.840
25.383 -1.404 -1.572
25.408 -1.448 -1.208
25.433 -1.493 -0.843
25.458 -1.626 -0.479
25.483 -1.582 -0.017
25.508 -1.670 0.396
25.533 -1.715 0.858
25.558 -1.759 1.198
25.583 -1.737 1.732
25.608 -1.781 2.170
25.633 -1.826 2.631
25.658 -1.826 3.069
25.683 -1.781 3.482
25.708 -1.715 3.846
25.733 -1.781 4.260
25.758 -1.693 4.527
25.783 -1.648 4.867
25.808 -1.604 5.061
25.833 -1.515 5.353
25.858 -1.404 5.499
25.883 -1.360 5.645
25.908 -1.226 5.742
25.933 -1.115 5.766
25.958 -1.027 5.742
25.983 -0.916 5.742
26.008 -0.760 5.645
26.033 -0.671 5.523
26.058 -0.516 5.329
26.083 -0.383 5.134
26.108 -0.250 4.891
26.133 -0.205 4.624
26.158 -0.050 4.211
26.183 0.017 3.919
26.208 0.150 3.579
26.233 0.217 3.215
26.258 0.305 2.802
26.283 0.283 2.437
26.308 0.350 2.000
26.333 0.328 1.587
26.358 0.328 1.173
26.383 0.328 0.809
26.408 0.328 0.469
26.433 0.261 0.104
26.458 0.239 -0.236
26.483 0.106 -0.576
26.508 0.017 -0.868
26.533 -0.050 -1.086
26.558 -0.139 -1.256
26.583 -0.294 -1.402
26.608 -0.427 -1.572
26.633 -0.627 -1.670
26.658 -0.760 -1.742
26.683 -0.982 -1.767
26.708 -1.071 -1.791
26.733 -1.249 -1.694
26.758 -1.471 -1.597
26.783 -1.670 -1.427
26.808 -1.826 -1.305
26.833 -1.959 -1.062
26.858 -2.092 -0.868
26.883 -2.270 -0.673
