schwebung 19.2cm
6.114 -2.270 -0.868
6.139 -2.336 -0.625
6.164 -2.425 -0.260
6.189 -2.470 0.080
6.214 -2.492 0.420
6.239 -2.492 0.736
6.264 -2.492 1.125
6.289 -2.447 1.441
6.314 -2.470 1.781
6.339 -2.359 2.097
6.364 -2.314 2.437
6.389 -2.181 2.729
6.414 -2.114 3.045
6.439 -1.937 3.288
6.464 -1.826 3.555
6.489 -1.670 3.725
6.514 -1.582 3.968
6.539 -1.426 4.114
6.564 -1.182 4.235
6.589 -1.027 4.284
6.614 -0.849 4.357
6.639 -0.605 4.430
6.664 -0.427 4.454
6.689 -0.227 4.454
6.714 -0.116 4.357
6.739 0.083 4.211
6.764 0.283 4.138
6.789 0.527 3.968
6.814 0.616 3.822
6.839 0.816 3.555
6.895 1.016 3.142
6.924 1.127 2.826
6.949 1.193 2.413
6.974 1.238 2.097
6.999 1.282 1.732
7.024 1.304 1.416
7.049 1.327 1.052
7.074 1.282 0.760
7.099 1.260 0.420
7.124 1.171 0.129
7.149 1.127 -0.114
7.174 1.038 -0.430
7.199 0.949 -0.673
7.224 0.772 -0.989
7.249 0.661 -1.159
7.274 0.439 -1.378
7.299 0.305 -1.621
7.324 0.150 -1.791
7.349 -0.005 -1.913
7.374 -0.250 -2.010
7.399 -0.449 -2.107
7.424 -0.649 -2.107
7.449 -0.805 -2.107
7.474 -1.027 -2.107
7.499 -1.226 -2.058
7.524 -1.448 -1.961
7.549 -1.604 -1.913
7.574 -1.737 -1.718
7.599 -1.959 -1.548
7.624 -2.159 -1.354
7.649 -2.292 -1.135
7.674 -2.403 -0.965
7.699 -2.447 -0.673
7.724 -2.536 -0.455
7.749 -2.625 -0.139
7.774 -2.758 0.177
7.799 -2.714 0.469
7.824 -2.736 0.785
7.849 -2.736 1.149
7.874 -2.736 1.465
7.899 -2.603 1.684
7.924 -2.536 2.048
7.949 -2.425 2.267
7.974 -2.381 2.583
7.999 -2.225 2.802
8.024 -2.092 3.093
8.049 -1.937 3.239
8.074 -1.759 3.433
8.099 -1.582 3.531
8.124 -1.404 3.701
8.149 -1.249 3.798
8.174 -1.071 3.895
8.199 -0.782 3.992
8.224 -0.627 4.017
8.249 -0.383 4.017
8.274 -0.183 3.919
8.299 0.083 3.871
8.324 0.217 3.895
8.349 0.416 3.701
8.374 0.616 3.628
8.399 0.794 3.458
8.424 0.927 3.288
8.449 1.105 3.020
8.474 1.193 2.777
8.499 1.349 2.534
8.524 1.460 2.389
8.549 1.571 2.097
8.574 1.571 1.878
8.599 1.549 1.489
8.624 1.549 1.222
8.649 1.571 0.906
8.674 1.504 0.687
8.699 1.460 0.396
8.724 1.327 0.153
8.749 1.238 -0.139
8.774 1.105 -0.357
8.799 0.994 -0.576
8.824 0.816 -0.795
8.849 0.638 -1.013
8.874 0.461 -1.135
8.899 0.283 -1.256
8.924 0.017 -1.427
8.949 -0.183 -1.524
8.974 -0.427 -1.597
8.999 -0.627 -1.621
9.024 -0.827 -1.670
9.049 -1.027 -1.621
9.074 -1.249 -1.597
9.099 -1.448 -1.621
9.124 -1.670 -1.475
9.149 -1.870 -1.354
9.174 -2.048 -1.184
9.199 -2.225 -1.086
9.224 -2.359 -0.868
9.249 -2.492 -0.698
9.274 -2.625 -0.503
9.299 -2.692 -0.284
9.324 -2.803 -0.041
9.349 -2.936 0.201
9.374 -2.936 0.469
9.399 -2.914 0.712
9.424 -2.936 1.003
9.449 -2.914 1.246
9.474 -2.869 1.465
9.499 -2.758 1.757
9.524 -2.669 1.975
9.549 -2.492 2.218
9.574 -2.403 2.364
9.599 -2.292 2.583
9.624 -2.159 2.826
9.649 -1.937 2.947
9.674 -1.781 3.093
9.699 -1.515 3.190
9.724 -1.293 3.312
9.749 -1.093 3.361
9.774 -0.893 3.458
9.799 -0.627 3.506
9.824 -0.405 3.531
9.849 -0.161 3.531
9.874 0.039 3.531
9.899 0.328 3.409
