schwebung 19.2cm
27.085 -1.315 -1.840
27.110 -1.115 -1.937
27.135 -0.916 -2.010
27.160 -0.827 -2.083
27.185 -0.627 -2.058
27.210 -0.427 -2.034
27.235 -0.294 -1.961
27.260 -0.072 -1.864
27.285 -0.005 -1.670
27.310 0.172 -1.572
27.335 0.372 -1.329
27.360 0.505 -1.159
27.385 0.638 -0.916
27.410 0.749 -0.722
27.435 0.883 -0.406
27.460 0.905 -0.139
27.485 0.971 0.153
27.510 1.038 0.445
27.535 1.105 0.785
27.560 1.082 1.125
27.585 1.060 1.441
27.610 1.082 1.732
27.635 1.038 1.975
27.660 0.927 2.316
27.685 0.905 2.631
27.710 0.794 2.874
27.735 0.727 3.142
27.760 0.594 3.385
27.785 0.527 3.603
27.810 0.372 3.798
27.835 0.194 3.895
27.860 0.017 4.065
27.885 -0.116 4.211
27.910 -0.250 4.284
27.935 -0.427 4.332
27.960 -0.583 4.332
27.985 -0.716 4.308
28.010 -0.849 4.235
28.035 -1.027 4.138
28.060 -1.226 4.065
28.085 -1.360 3.919
28.110 -1.515 3.701
28.135 -1.626 3.579
28.160 -1.737 3.336
28.185 -1.848 3.093
28.210 -1.981 2.802
28.235 -2.048 2.510
28.260 -2.070 2.194
28.285 -2.114 1.902
28.310 -2.203 1.587
28.335 -2.203 1.246
28.360 -2.225 0.882
28.385 -2.248 0.542
28.410 -2.225 0.226
28.435 -2.114 -0.114
28.460 -2.114 -0.357
28.485 -2.026 -0.649
28.510 -1.981 -0.965
28.535 -1.870 -1.256
28.560 -1.804 -1.499
28.585 -1.670 -1.694
28.610 -1.515 -1.888
28.635 -1.360 -2.058
28.660 -1.271 -2.204
28.685 -1.138 -2.301
28.710 -0.960 -2.326
28.735 -0.805 -2.399
28.760 -0.694 -2.423
28.785 -0.494 -2.374
28.810 -0.338 -2.253
28.835 -0.227 -2.131
28.860 -0.072 -2.010
28.885 0.083 -1.961
28.910 0.194 -1.718
28.935 0.305 -1.451
28.960 0.416 -1.159
28.985 0.505 -0.965
29.010 0.616 -0.649
29.035 0.705 -0.382
29.060 0.727 -0.041
29.085 0.772 0.274
29.110 0.816 0.663
29.135 0.838 1.028
29.160 0.860 1.344
29.185 0.794 1.659
29.210 0.772 2.000
29.235 0.749 2.364
29.260 0.683 2.680
29.285 0.616 2.972
29.310 0.505 3.263
29.335 0.372 3.506
29.360 0.305 3.725
29.385 0.172 3.968
29.410 0.083 4.162
29.435 -0.005 4.332
29.460 -0.116 4.478
29.485 -0.250 4.551
29.510 -0.472 4.575
29.535 -0.583 4.575
29.560 -0.760 4.551
29.585 -0.871 4.503
29.610 -0.960 4.478
29.635 -1.115 4.357
29.660 -1.226 4.211
29.685 -1.360 4.041
29.710 -1.471 3.798
29.735 -1.559 3.628
29.760 -1.626 3.336
29.785 -1.759 3.020
29.810 -1.892 2.704
29.835 -1.937 2.389
29.860 -1.959 2.073
29.885 -1.892 1.757
29.910 -1.981 1.368
29.935 -1.981 1.003
29.960 -1.981 0.639
29.985 -1.959 0.274
30.010 -1.937 -0.090
30.035 -1.892 -0.357
30.060 -1.826 -0.722
30.085 -1.693 -1.062
30.110 -1.693 -1.329
30.135 -1.582 -1.548
30.160 -1.471 -1.815
30.185 -1.315 -2.058
30.210 -1.271 -2.180
30.235 -1.138 -2.326
30.260 -1.071 -2.447
30.285 -0.982 -2.593
30.310 -0.871 -2.690
30.335 -0.716 -2.690
30.360 -0.583 -2.617
30.385 -0.427 -2.569
30.410 -0.294 -2.447
30.435 -0.161 -2.301
30.460 -0.094 -2.156
30.485 -0.005 -1.985
30.510 0.061 -1.742
30.535 0.194 -1.451
30.560 0.261 -1.232
30.585 0.328 -0.916
30.610 0.439 -0.576
30.635 0.461 -0.260
30.660 0.527 0.129
30.685 0.505 0.445
30.710 0.527 0.785
30.735 0.550 1.173
30.760 0.527 1.635
30.785 0.527 1.951
30.810 0.505 2.340
30.835 0.439 2.656
30.860 0.328 3.045
30.885 0.328 3.312
30.910 0.194 3.579
30.935 0.194 3.822
30.960 0.039 4.041
30.985 -0.028 4.308
31.010 -0.161 4.478
31.035 -0.227 4.624
31.060 -0.294 4.697
31.085 -0.383 4.794
31.110 -0.583 4.818
31.135 -0.671 4.843
31.160 -0.782 4.818
31.185 -0.871 4.697
31.210 -1.004 4.575
31.235 -1.093 4.430
31.260 -1.182 4.284
31.285 -1.271 4.041
31.310 -1.360 3.871
31.335 -1.448 3.458
31.360 -1.537 3.336
31.385 -1.559 2.923
31.410 -1.559 2.607
31.435 -1.626 2.243
31.460 -1.582 1.902
31.485 -1.604 1.465
31.510 -1.670 1.101
31.535 -1.715 0.687
31.560 -1.693 0.347
31.585 -1.648 -0.017
31.610 -1.604 -0.382
31.635 -1.515 -0.698
31.660 -1.537 -1.038
31.685 -1.493 -1.378
31.710 -1.426 -1.621
31.735 -1.360 -1.888
31.760 -1.249 -2.156
31.785 -1.160 -2.374
31.810 -1.093 -2.593
31.835 -0.960 -2.714
31.860 -0.893 -2.739
31.885 -0.738 -2.860
31.910 -0.694 -2.860
31.935 -0.627 -2.885
31.960 -0.538 -2.787
31.985 -0.405 -2.690
32.010 -0.338 -2.544
32.035 -0.272 -2.423
32.060 -0.227 -2.204
32.085 -0.094 -1.937
32.110 -0.028 -1.694
32.135 0.083 -1.427
32.160 0.106 -1.111
32.185 0.150 -0.795
32.210 0.194 -0.430
32.235 0.194 -0.017
32.260 0.194 0.372
32.285 0.283 0.687
32.310 0.217 1.003
32.335 0.239 1.514
32.360 0.194 1.854
32.385 0.172 2.267
32.410 0.172 2.680
32.435 0.172 2.972
32.460 0.017 3.336
32.485 -0.005 3.676
32.510 -0.072 3.968
32.535 -0.116 4.162
32.560 -0.205 4.430
32.585 -0.272 4.551
32.610 -0.405 4.746
32.635 -0.427 4.891
32.660 -0.516 4.964
32.685 -0.538 5.013
32.710 -0.671 5.013
32.735 -0.738 4.989
32.760 -0.782 4.940
32.785 -0.827 4.794
32.810 -0.916 4.673
32.835 -1.004 4.478
32.860 -1.093 4.284
32.885 -1.115 4.065
32.910 -1.204 3.798
32.935 -1.249 3.458
32.960 -1.315 3.117
32.985 -1.337 2.826
33.010 -1.404 2.389
33.035 -1.360 2.000
33.060 -1.360 1.732
33.085 -1.382 1.246
33.110 -1.382 0.833
33.135 -1.360 0.469
33.160 -1.382 0.080
33.185 -1.293 -0.309
33.210 -1.293 -0.649
33.235 -1.226 -1.013
33.260 -1.204 -1.354
33.285 -1.182 -1.718
33.310 -1.115 -1.888
33.335 -1.093 -2.156
33.360 -1.027 -2.374
33.385 -0.893 -2.642
33.410 -0.849 -2.739
33.435 -0.871 -2.885
33.460 -0.760 -2.909
33.485 -0.694 -2.982
33.510 -0.649 -2.982
33.535 -0.583 -2.933
33.560 -0.516 -2.836
33.585 -0.472 -2.714
33.610 -0.405 -2.520
33.635 -0.316 -2.350
33.660 -0.272 -2.107
33.685 -0.227 -1.888
33.710 -0.250 -1.548
33.735 -0.205 -1.256
33.760 -0.183 -0.916
33.785 -0.094 -0.576
33.810 -0.050 -0.163
33.835 -0.028 0.177
33.860 -0.139 0.615
33.885 -0.050 1.028
33.910 -0.116 1.392
33.935 -0.072 1.757
33.960 -0.139 2.170
33.985 -0.139 2.559
34.010 -0.161 2.972
34.035 -0.139 3.288
34.060 -0.250 3.579
34.085 -0.272 3.895
34.110 -0.338 4.211
34.135 -0.361 4.430
34.160 -0.405 4.648
34.185 -0.383 4.818
34.210 -0.516 4.916
34.235 -0.494 5.037
34.260 -0.583 5.110
34.285 -0.694 5.086
34.310 -0.716 5.159
34.335 -0.716 5.037
34.360 -0.782 4.964
34.385 -0.805 4.818
34.410 -0.893 4.673
34.435 -0.938 4.405
34.460 -0.938 4.211
34.485 -0.938 3.871
34.510 -0.982 3.628
34.535 -0.960 3.312
34.560 -1.049 2.923
34.585 -1.049 2.559
34.610 -1.027 2.194
34.635 -1.049 1.781
34.660 -1.115 1.416
34.685 -1.093 1.003
34.710 -1.071 0.639
34.735 -1.027 0.201
34.760 -1.027 -0.187
34.785 -1.004 -0.625
34.810 -1.004 -0.941
34.835 -0.960 -1.329
34.860 -0.893 -1.670
34.885 -0.893 -1.937
34.910 -0.938 -2.180
34.935 -0.805 -2.374
34.960 -0.805 -2.593
34.985 -0.782 -2.836
35.010 -0.760 -2.982
35.035 -0.694 -3.030
35.060 -0.694 -3.055
35.085 -0.649 -3.079
35.110 -0.605 -3.055
35.135 -0.560 -3.030
35.160 -0.538 -2.885
35.185 -0.538 -2.714
35.210 -0.494 -2.496
35.235 -0.472 -2.253
35.260 -0.472 -2.010
35.285 -0.427 -1.718
35.310 -0.494 -1.378
35.335 -0.383 -1.062
35.360 -0.449 -0.673
35.385 -0.405 -0.357
35.410 -0.405 0.031
35.435 -0.405 0.445
35.460 -0.383 0.882
35.485 -0.383 1.271
35.510 -0.427 1.659
35.535 -0.427 2.073
35.560 -0.449 2.486
35.585 -0.427 2.826
35.610 -0.472 3.215
35.635 -0.472 3.555
35.660 -0.516 3.798
35.685 -0.494 4.114
35.710 -0.494 4.405
35.735 -0.516 4.624
35.760 -0.627 4.770
35.785 -0.605 4.940
35.810 -0.583 5.013
35.835 -0.583 5.134
35.860 -0.627 5.159
35.885 -0.671 5.134
35.910 -0.716 5.086
35.935 -0.738 5.037
35.960 -0.716 4.916
35.985 -0.694 4.697
36.010 -0.716 4.527
36.035 -0.671 4.284
36.060 -0.716 4.041
36.085 -0.782 3.725
36.110 -0.760 3.409
36.135 -0.738 3.045
36.160 -0.760 2.656
36.185 -0.760 2.267
36.210 -0.782 1.902
36.235 -0.716 1.489
36.260 -0.760 1.052
36.285 -0.738 0.687
36.310 -0.716 0.274
36.335 -0.716 -0.114
36.360 -0.738 -0.503
36.385 -0.738 -0.843
36.410 -0.738 -1.208
36.435 -0.671 -1.572
36.460 -0.671 -1.840
36.485 -0.649 -2.131
36.510 -0.671 -2.423
36.535 -0.671 -2.593
36.560 -0.649 -2.739
36.585 -0.627 -2.885
36.610 -0.627 -2.982
36.635 -0.649 -3.055
36.660 -0.694 -3.079
36.685 -0.649 -3.055
36.710 -0.649 -3.006
36.735 -0.649 -2.909
36.760 -0.627 -2.763
36.785 -0.627 -2.544
36.810 -0.649 -2.301
36.835 -0.649 -2.083
36.860 -0.649 -1.864
36.885 -0.671 -1.499
36.910 -0.671 -1.208
36.935 -0.694 -0.819
36.960 -0.671 -0.455
36.985 -0.671 -0.041
37.010 -0.694 0.323
37.035 -0.694 0.736
37.060 -0.649 1.149
37.085 -0.694 1.562
37.110 -0.738 1.975
37.135 -0.760 2.364
37.160 -0.738 2.704
37.185 -0.738 3.117
37.210 -0.694 3.433
37.235 -0.760 3.798
37.260 -0.716 4.041
37.285 -0.671 4.357
37.310 -0.694 4.575
37.335 -0.694 4.746
37.360 -0.671 4.843
37.385 -0.694 5.013
37.410 -0.649 5.061
37.435 -0.671 5.159
37.460 -0.627 5.134
37.485 -0.649 5.086
37.510 -0.671 4.989
37.535 -0.605 4.964
37.560 -0.583 4.746
37.585 -0.583 4.575
37.610 -0.516 4.332
37.635 -0.560 4.114
37.660 -0.516 3.798
37.685 -0.560 3.531
37.710 -0.494 3.166
37.735 -0.494 2.850
37.760 -0.427 2.413
37.785 -0.472 2.097
37.810 -0.449 1.684
37.835 -0.494 1.222
37.860 -0.494 0.785
37.885 -0.449 0.469
37.910 -0.449 0.007
37.935 -0.449 -0.309
37.960 -0.427 -0.722
37.985 -0.449 -1.086
38.010 -0.427 -1.402
38.035 -0.494 -1.742
38.060 -0.472 -1.985
38.085 -0.516 -2.253
38.110 -0.494 -2.544
38.135 -0.494 -2.666
38.160 -0.560 -2.836
38.185 -0.671 -2.933
38.210 -0.605 -2.982
38.235 -0.671 -2.982
38.260 -0.694 -3.055
38.285 -0.716 -2.982
38.310 -0.738 -2.933
38.335 -0.716 -2.690
38.360 -0.805 -2.569
38.385 -0.916 -2.399
38.410 -0.849 -2.131
38.435 -0.893 -1.815
38.460 -0.916 -1.572
38.485 -0.938 -1.256
38.510 -0.938 -0.916
38.535 -1.049 -0.600
38.560 -0.982 -0.236
38.585 -0.960 0.226
38.610 -0.960 0.615
38.635 -1.004 1.052
38.660 -0.982 1.416
38.685 -0.938 1.830
38.710 -0.982 2.145
38.735 -1.004 2.583
38.760 -0.960 2.899
38.785 -0.982 3.336
38.810 -0.938 3.579
38.835 -0.960 3.871
38.860 -0.916 4.138
38.885 -0.916 4.381
38.910 -0.849 4.575
38.935 -0.827 4.721
38.960 -0.760 4.867
38.985 -0.760 5.013
39.010 -0.671 5.013
39.035 -0.671 5.037
39.060 -0.605 5.037
39.085 -0.538 4.989
39.110 -0.516 4.891
39.135 -0.472 4.746
39.160 -0.405 4.527
39.185 -0.383 4.332
39.210 -0.316 4.090
39.235 -0.338 3.846
39.260 -0.294 3.555
39.285 -0.272 3.190
39.310 -0.205 2.850
39.335 -0.205 2.534
39.360 -0.161 2.097
39.385 -0.205 1.732
39.410 -0.139 1.319
39.435 -0.139 0.979
39.460 -0.161 0.542
39.485 -0.205 0.201
39.510 -0.161 -0.212
39.535 -0.161 -0.552
39.560 -0.205 -0.941
39.585 -0.272 -1.232
39.610 -0.272 -1.597
39.635 -0.316 -1.815
39.660 -0.361 -2.180
39.685 -0.361 -2.326
39.710 -0.449 -2.471
39.735 -0.472 -2.617
39.760 -0.516 -2.739
39.785 -0.649 -2.860
39.810 -0.583 -2.933
39.835 -0.649 -2.909
39.860 -0.738 -2.860
39.885 -0.805 -2.787
39.910 -0.805 -2.666
39.935 -0.916 -2.520
39.960 -0.960 -2.399
39.985 -1.049 -2.131
40.010 -1.071 -1.888
40.035 -1.093 -1.621
40.060 -1.160 -1.256
40.085 -1.160 -0.941
40.110 -1.204 -0.625
40.135 -1.293 -0.236
40.160 -1.271 0.153
40.185 -1.271 0.469
40.210 -1.271 0.833
40.235 -1.293 1.271
40.260 -1.226 1.684
40.285 -1.315 2.121
40.310 -1.315 2.389
40.335 -1.249 2.729
40.360 -1.226 3.069
40.385 -1.182 3.458
40.410 -1.138 3.701
40.435 -1.115 4.017
40.460 -1.071 4.187
40.485 -0.960 4.454
40.510 -0.893 4.551
40.535 -0.893 4.673
40.560 -0.782 4.818
40.585 -0.760 4.891
40.610 -0.627 4.867
40.635 -0.538 4.916
40.660 -0.494 4.794
40.685 -0.449 4.721
40.710 -0.383 4.600
40.735 -0.294 4.503
40.760 -0.205 4.260
40.785 -0.161 4.090
40.810 -0.050 3.846
40.835 -0.050 3.579
40.860 -0.005 3.215
40.885 -0.005 2.923
40.910 0.083 2.583
40.935 0.039 2.218
40.960 0.150 1.854
40.985 0.128 1.465
41.010 0.128 1.125
41.035 0.150 0.736
41.060 0.128 0.299
41.085 0.083 -0.041
41.110 0.128 -0.357
41.135 0.061 -0.770
41.160 0.017 -1.086
41.185 -0.028 -1.354
41.210 -0.116 -1.694
41.235 -0.183 -1.888
41.260 -0.250 -2.107
41.285 -0.294 -2.253
41.310 -0.316 -2.496
41.335 -0.516 -2.593
41.360 -0.560 -2.690
41.385 -0.627 -2.690
41.410 -0.649 -2.739
41.435 -0.849 -2.714
41.460 -0.849 -2.593
41.485 -0.938 -2.496
41.510 -1.004 -2.423
41.535 -1.093 -2.277
41.560 -1.226 -2.034
41.585 -1.271 -1.767
41.610 -1.315 -1.524
41.635 -1.382 -1.256
41.660 -1.426 -0.989
41.685 -1.515 -0.625
41.710 -1.493 -0.284
41.735 -1.537 0.056
41.760 -1.559 0.396
41.785 -1.604 0.833
41.810 -1.582 1.125
41.835 -1.582 1.538
41.860 -1.537 1.902
41.885 -1.515 2.267
41.910 -1.493 2.583
41.935 -1.448 2.923
41.960 -1.404 3.215
41.985 -1.360 3.482
42.010 -1.249 3.749
42.035 -1.226 3.992
42.060 -1.115 4.162
42.085 -1.093 4.430
42.110 -0.916 4.527
42.135 -0.893 4.575
42.160 -0.760 4.673
42.185 -0.649 4.697
42.210 -0.605 4.697
42.235 -0.494 4.673
42.260 -0.338 4.600
42.285 -0.272 4.503
42.310 -0.161 4.332
42.335 -0.139 4.211
42.360 0.039 3.992
42.385 0.039 3.749
42.410 0.128 3.506
42.435 0.261 3.263
42.460 0.328 2.972
42.485 0.350 2.559
42.510 0.394 2.218
42.535 0.416 1.854
42.560 0.416 1.538
42.585 0.394 1.125
42.610 0.416 0.833
42.635 0.394 0.420
42.660 0.394 0.153
42.685 0.305 -0.236
42.710 0.305 -0.576
42.735 0.239 -0.868
42.760 0.194 -1.135
42.785 0.150 -1.427
42.810 0.039 -1.694
42.835 -0.094 -1.888
42.860 -0.139 -2.107
42.885 -0.250 -2.253
42.910 -0.316 -2.277
42.935 -0.472 -2.399
42.960 -0.560 -2.520
42.985 -0.716 -2.544
43.010 -0.827 -2.520
43.035 -0.916 -2.423
43.060 -1.071 -2.350
43.085 -1.160 -2.277
43.110 -1.204 -2.107
43.135 -1.315 -1.913
43.160 -1.404 -1.670
43.185 -1.515 -1.451
43.210 -1.559 -1.159
43.235 -1.693 -0.916
43.260 -1.693 -0.649
43.285 -1.759 -0.309
43.310 -1.804 0.007
43.335 -1.804 0.372
43.360 -1.781 0.687
43.385 -1.848 1.076
43.410 -1.804 1.416
43.435 -1.848 1.708
43.460 -1.781 2.097
43.485 -1.693 2.389
43.510 -1.715 2.631
43.535 -1.604 2.947
43.560 -1.537 3.239
43.585 -1.426 3.482
43.610 -1.404 3.725
43.635 -1.293 3.895
43.660 -1.182 4.065
43.685 -0.982 4.235
43.710 -0.938 4.332
43.735 -0.827 4.430
43.760 -0.694 4.405
43.785 -0.560 4.430
43.810 -0.405 4.405
43.835 -0.294 4.381
43.860 -0.250 4.284
43.885 -0.116 4.187
43.910 0.061 4.041
43.935 0.194 3.822
43.960 0.239 3.603
43.985 0.350 3.409
44.010 0.416 3.166
44.035 0.461 2.850
44.060 0.550 2.583
44.085 0.572 2.218
44.110 0.638 1.878
44.135 0.638 1.635
44.160 0.638 1.271
44.185 0.727 1.003
44.210 0.705 0.590
44.235 0.594 0.299
44.260 0.594 0.031
44.285 0.550 -0.333
44.310 0.461 -0.552
44.335 0.372 -0.916
44.360 0.283 -1.159
44.385 0.239 -1.378
44.410 0.083 -1.572
44.435 0.017 -1.742
44.460 -0.139 -1.888
44.485 -0.272 -2.058
44.510 -0.405 -2.107
44.535 -0.494 -2.180
44.560 -0.671 -2.180
44.585 -0.827 -2.204
44.610 -0.938 -2.204
44.635 -1.071 -2.131
44.660 -1.182 -2.010
44.685 -1.293 -1.864
44.710 -1.493 -1.694
44.735 -1.515 -1.524
44.760 -1.648 -1.329
44.785 -1.759 -1.111
44.810 -1.804 -0.795
44.835 -1.892 -0.576
44.860 -2.026 -0.260
44.885 -2.026 -0.041
44.910 -2.048 0.250
44.935 -2.092 0.590
44.960 -2.092 0.979
44.985 -2.070 1.246
45.010 -2.092 1.562
45.035 -2.003 1.830
45.060 -1.937 2.194
45.085 -1.915 2.461
45.110 -1.848 2.729
45.135 -1.693 3.045
45.160 -1.626 3.215
45.185 -1.515 3.409
45.210 -1.426 3.628
45.235 -1.315 3.774
45.260 -1.204 3.895
45.285 -1.004 4.041
45.310 -0.938 4.138
45.335 -0.760 4.138
45.360 -0.649 4.138
45.385 -0.405 4.138
45.410 -0.250 4.090
45.435 -0.116 4.065
45.460 -0.028 3.944
45.485 0.172 3.822
45.510 0.239 3.628
45.535 0.416 3.458
45.560 0.505 3.263
45.585 0.616 3.020
45.610 0.727 2.777
45.635 0.749 2.534
45.660 0.816 2.267
45.685 0.860 1.975
45.710 0.838 1.708
45.735 0.883 1.368
45.760 0.860 1.101
45.785 0.883 0.785
45.810 0.860 0.493
45.835 0.838 0.177
45.860 0.705 -0.041
45.885 0.616 -0.333
45.910 0.572 -0.600
45.935 0.483 -0.892
45.960 0.372 -1.062
45.985 0.261 -1.281
46.010 0.106 -1.402
46.035 -0.028 -1.597
46.060 -0.183 -1.694
46.085 -0.338 -1.767
46.110 -0.494 -1.840
46.135 -0.649 -1.888
46.160 -0.827 -1.864
46.185 -0.982 -1.791
46.210 -1.115 -1.767
46.235 -1.293 -1.718
46.260 -1.448 -1.597
46.285 -1.493 -1.499
46.310 -1.693 -1.354
46.335 -1.804 -1.184
46.360 -1.892 -0.965
46.385 -2.003 -0.746
46.410 -2.114 -0.455
46.435 -2.137 -0.236
46.460 -2.225 0.031
46.485 -2.203 0.299
46.510 -2.292 0.639
46.535 -2.292 0.833
46.560 -2.248 1.149
46.585 -2.203 1.416
46.610 -2.137 1.708
46.635 -2.137 1.975
46.660 -2.092 2.291
46.685 -2.048 2.461
46.710 -1.915 2.704
46.735 -1.781 2.923
46.760 -1.737 3.069
46.785 -1.604 3.288
46.810 -1.404 3.482
46.835 -1.204 3.506
46.860 -1.093 3.603
46.885 -0.960 3.701
46.910 -0.782 3.798
46.935 -0.627 3.822
46.960 -0.405 3.846
46.985 -0.250 3.749
47.010 -0.116 3.774
47.035 0.017 3.676
47.060 0.150 3.506
47.085 0.372 3.409
47.110 0.483 3.239
47.135 0.616 3.020
47.160 0.749 2.923
47.185 0.816 2.656
47.210 0.905 2.461
47.235 0.971 2.194
47.260 1.016 2.000
47.285 1.105 1.732
47.310 1.082 1.416
47.335 1.127 1.198
47.360 1.105 0.930
47.385 1.082 0.639
47.410 0.971 0.347
47.435 0.971 0.153
47.460 0.838 -0.090
47.485 0.727 -0.357
47.510 0.616 -0.527
47.535 0.483 -0.722
47.560 0.350 -0.916
47.585 0.283 -1.086
47.610 0.083 -1.184
47.635 -0.072 -1.305
47.660 -0.294 -1.402
47.685 -0.405 -1.427
47.710 -0.583 -1.451
47.735 -0.738 -1.499
47.760 -0.982 -1.451
47.785 -1.160 -1.451
47.810 -1.337 -1.378
47.835 -1.515 -1.305
47.860 -1.626 -1.232
47.885 -1.737 -1.062
47.910 -1.892 -0.965
47.935 -1.981 -0.770
47.960 -2.114 -0.576
47.985 -2.225 -0.382
48.010 -2.336 -0.163
48.035 -2.359 0.031
48.060 -2.425 0.347
48.085 -2.403 0.615
48.110 -2.403 0.785
48.135 -2.470 0.979
48.160 -2.425 1.271
48.185 -2.336 1.514
48.210 -2.336 1.757
48.235 -2.225 1.951
48.260 -2.137 2.218
48.285 -2.048 2.340
48.310 -1.981 2.559
48.335 -1.804 2.704
48.360 -1.693 2.899
48.385 -1.471 3.093
48.410 -1.315 3.166
48.435 -1.182 3.215
48.460 -1.004 3.312
48.485 -0.849 3.336
48.510 -0.649 3.433
48.535 -0.427 3.409
48.560 -0.250 3.409
48.585 -0.116 3.361
48.610 0.061 3.263
48.635 0.261 3.166
48.660 0.394 3.117
48.685 0.594 3.020
48.710 0.661 2.874
48.735 0.838 2.680
48.760 0.994 2.559
48.785 1.082 2.316
48.810 1.127 2.097
48.835 1.193 1.902
48.860 1.238 1.635
48.885 1.349 1.465
48.910 1.260 1.271
48.935 1.282 1.028
48.960 1.216 0.785
48.985 1.260 0.663
49.010 1.127 0.372
49.035 0.994 0.153
49.060 0.860 -0.066
49.085 0.816 -0.284
49.110 0.638 -0.406
49.135 0.527 -0.576
49.160 0.372 -0.698
49.185 0.305 -0.795
49.210 0.017 -0.916
49.235 -0.183 -0.965
49.260 -0.383 -1.013
49.285 -0.583 -1.062
49.310 -0.716 -1.111
49.335 -0.893 -1.062
49.360 -1.160 -1.038
49.385 -1.315 -1.062
49.410 -1.515 -0.965
49.435 -1.693 -0.892
49.460 -1.870 -0.819
49.485 -2.003 -0.673
49.510 -2.114 -0.455
49.535 -2.225 -0.357
49.560 -2.359 -0.187
49.585 -2.403 -0.041
49.610 -2.492 0.153
49.635 -2.558 0.347
49.660 -2.603 0.542
49.685 -2.581 0.712
49.710 -2.603 0.955
49.735 -2.536 1.149
49.760 -2.581 1.295
49.785 -2.425 1.514
49.810 -2.359 1.757
49.835 -2.314 1.878
49.860 -2.203 2.121
49.885 -2.092 2.243
49.910 -1.959 2.437
49.935 -1.781 2.534
49.960 -1.626 2.704
49.985 -1.493 2.753
50.010 -1.293 2.826
50.035 -1.093 2.923
50.060 -0.871 2.972
50.085 -0.694 3.020
50.110 -0.427 3.045
50.135 -0.227 2.972
50.160 -0.094 2.947
50.185 0.128 2.899
50.210 0.328 2.874
50.235 0.483 2.802
50.260 0.616 2.729
50.285 0.838 2.656
50.310 0.949 2.510
50.335 1.105 2.267
50.360 1.149 2.218
50.385 1.282 2.024
50.410 1.371 1.830
50.435 1.415 1.635
50.460 1.415 1.514
50.485 1.415 1.295
50.510 1.460 1.149
50.535 1.415 0.979
50.560 1.282 0.809
50.585 1.238 0.615
50.610 1.149 0.469
50.635 1.082 0.323
50.660 0.927 0.129
50.685 0.794 -0.017
50.710 0.661 -0.212
50.735 0.461 -0.284
50.760 0.261 -0.382
50.785 0.106 -0.527
50.810 -0.094 -0.552
50.835 -0.316 -0.600
50.860 -0.516 -0.576
50.885 -0.760 -0.649
50.910 -0.960 -0.673
50.935 -1.160 -0.673
50.960 -1.337 -0.600
50.985 -1.493 -0.576
51.010 -1.670 -0.455
51.035 -1.870 -0.455
51.060 -2.026 -0.357
51.085 -2.181 -0.284
51.110 -2.381 -0.139
51.135 -2.470 -0.017
51.160 -2.581 0.129
51.185 -2.558 0.274
51.210 -2.669 0.420
51.235 -2.692 0.542
51.260 -2.758 0.760
51.285 -2.714 0.858
51.310 -2.736 1.052
51.335 -2.669 1.149
51.360 -2.625 1.319
51.385 -2.558 1.489
51.410 -2.470 1.611
51.435 -2.381 1.708
51.460 -2.181 1.902
51.485 -2.048 2.048
51.510 -1.848 2.121
51.535 -1.670 2.218
51.560 -1.537 2.340
51.585 -1.271 2.486
51.610 -1.138 2.486
51.635 -0.916 2.559
51.660 -0.738 2.486
51.685 -0.494 2.583
51.710 -0.316 2.583
51.735 -0.050 2.534
51.760 0.128 2.534
51.785 0.328 2.461
51.810 0.461 2.389
51.835 0.705 2.316
51.860 0.860 2.291
51.885 1.038 2.170
51.910 1.216 2.048
51.935 1.260 1.951
51.960 1.349 1.854
51.985 1.438 1.757
52.010 1.504 1.611
52.035 1.526 1.465
52.060 1.482 1.319
52.085 1.549 1.198
52.110 1.504 1.076
52.135 1.504 0.906
52.160 1.415 0.833
52.185 1.282 0.663
52.210 1.171 0.542
52.235 1.082 0.396
52.260 0.883 0.250
52.285 0.772 0.177
52.310 0.572 0.129
52.335 0.328 0.007
52.360 0.194 -0.017
52.385 0.017 -0.090
52.410 -0.227 -0.187
52.435 -0.472 -0.139
52.460 -0.716 -0.212
52.485 -0.916 -0.163
52.510 -1.115 -0.212
52.535 -1.315 -0.212
52.560 -1.559 -0.212
52.585 -1.715 -0.139
52.610 -1.870 -0.066
52.635 -2.048 -0.017
52.660 -2.137 0.007
52.685 -2.314 0.129
52.710 -2.447 0.226
52.735 -2.558 0.347
52.760 -2.669 0.420
52.785 -2.758 0.517
52.810 -2.803 0.639
52.835 -2.825 0.760
52.860 -2.847 0.809
52.885 -2.780 0.955
52.910 -2.692 1.003
52.935 -2.714 1.149
52.960 -2.625 1.271
52.985 -2.536 1.392
53.010 -2.381 1.441
53.035 -2.292 1.538
53.060 -2.225 1.659
53.085 -2.026 1.757
53.110 -1.804 1.805
53.135 -1.604 1.878
53.160 -1.426 1.927
53.185 -1.226 2.000
53.210 -1.004 2.000
53.235 -0.782 2.048
53.260 -0.472 2.048
53.285 -0.272 2.048
53.310 -0.072 2.073
53.335 0.083 2.048
53.360 0.328 1.975
53.385 0.483 2.000
53.410 0.705 1.951
53.435 0.883 1.927
53.460 1.016 1.878
53.485 1.127 1.830
53.510 1.327 1.732
53.535 1.393 1.659
53.560 1.526 1.562
53.585 1.526 1.538
53.610 1.593 1.465
53.635 1.593 1.416
53.660 1.637 1.246
53.685 1.593 1.173
