Ordnung	Lage [px] Fehler [px] Intensität [cnt]	Fehler [cnt]
-5	526.38	15	425.71	40
-5	566.30	10	244.46	25
-4	613.16	7	553.38	30
-4	661.76	5	263.58	20
-3	708.62	10	848.52	50
-3	755.48	5	337.44	20
-2	814.49	3	1726.34	40
-2 	856.15	2	454.50	20
-1	909.95	1.5	3696.87	20
-1	951.61	1.5	490.54	40
0	0	0	0	0
1	1144.26	1.5	503.50	40
1	1185.91	1.5	3825.09	20
2	1236.24	2	458.00	20
2	1283.10	4	1848.88	70
3	1333.44	4	348.15	20
3	1371.62	7	1029.43	60
4	1430.63	7	266.21	30
4	1475.75	5	637.01	40
5	1528.35	8	242.35	30
5	1567.74	10	495.43	60
