t / s	&J_A21 / °C
649	-25,8
650	-26,0
651	-28,6
652	-25,8
653	-25,6
654	-25,4
655	-24,8
656	-25,5
657	-25,6
658	-25,8
659	-25,8
660	-25,8
661	-27,2
662	-25,6
663	-27,5
664	-25,6
665	-25,6
666	-25,8
667	-23,6
668	-26,1
669	-26,9
670	-26,8
671	-26,5
672	-25,8
673	-26,3
674	-25,9
675	-26,3
676	-25,8
677	-26,3
678	-25,8
679	-26,2
680	-23,7
681	-26,3
682	-26,9
683	-26,7
684	-26,5
685	-25,8
686	-26,2
687	-25,6
688	-25,9
689	-26,2
690	-26,0
691	-26,9
692	-25,8
693	-25,0
694	-25,9
695	-26,4
696	-26,5
697	-24,2
698	-23,8
699	-27,0
700	-26,1
701	-26,2
702	-26,7
703	-26,4
704	-26,5
705	-26,5
706	-24,2
707	-26,5
708	-26,0
709	-26,2
710	-26,7
711	-26,5
712	-26,1
713	-26,3
714	-24,5
715	-26,5
716	-24,0
717	-26,6
718	-25,8
719	-26,2
720	-26,8
721	-27,2
722	-26,0
723	-26,9
724	-26,0
725	-26,3
726	-26,0
727	-26,0
728	-26,2
729	-26,5
730	-26,0
731	-26,5
732	-26,0
733	-26,1
734	-26,3
735	-26,9
736	-27,3
737	-26,2
738	-27,4
739	-27,6
740	-26,3
741	-28,1
742	-26,3
743	-26,1
744	-26,3
745	-24,2
746	-26,4
747	-27,2
748	-26,0
749	-26,3
750	-26,4
751	-26,5
752	-26,2
753	-26,3
754	-26,1
755	-26,2
756	-26,0
757	-26,4
758	-24,4
759	-26,2
760	-24,1
761	-27,5
762	-26,3
763	-26,2
764	-26,5
765	-26,1
766	-26,3
767	-26,6
768	-26,5
769	-26,4
770	-26,3
771	-26,9
772	-26,3
773	-26,7
774	-26,3
775	-26,3
776	-26,9
777	-26,3
778	-26,7
779	-26,9
780	-26,5
781	-26,4
782	-27,0
783	-26,2
784	-26,5
785	-26,5
786	-27,6
787	-26,1
788	-27,8
789	-26,3
790	-26,5
791	-26,3
792	-26,5
793	-27,6
794	-26,9
795	-26,3
796	-26,7
797	-26,4
798	-27,2
799	-27,5
800	-26,3
801	-27,6
802	-24,1
803	-26,3
804	-26,2
805	-27,1
806	-27,3
807	-29,7
808	-26,3
809	-28,8
810	-26,3
811	-26,1
812	-26,3
813	-26,3
814	-26,9
815	-26,5
816	-26,9
817	-26,1
818	-27,1
819	-26,3
820	-26,3
821	-26,9
822	-27,8
823	-26,7
824	-28,6
825	-28,3
826	-26,5
827	-26,3
828	-26,1
829	-26,6
830	-25,9
831	-26,5
832	-26,6
833	-26,7
834	-26,4
835	-28,0
836	-27,6
837	-26,3
838	-26,0
839	-26,0
840	-27,0
841	-28,0
842	-26,4
843	-24,3
844	-24,3
845	-26,5
846	-26,4
847	-26,8
848	-26,2
849	-26,2
850	-24,7
851	-25,8
852	-25,8
853	-25,9
854	-26,1
855	-26,3
856	-26,2
857	-26,0
858	-26,3
859	-26,5
860	-26,1
861	-27,1
862	-27,1
863	-24,2
864	-26,1
865	-26,0
866	-26,5
867	-26,3
868	-27,1
869	-24,0
870	-24,5
871	-26,1
872	-27,5
873	-26,2
874	-26,5
875	-26,5
876	-26,3
877	-26,1
878	-26,3
879	-26,5
880	-26,0
881	-26,1
882	-26,2
883	-26,3
884	-27,1
885	-25,8
886	-26,6
887	-27,3
888	-24,0
889	-26,8
890	-26,2
891	-25,6
892	-26,5
893	-24,5
894	-26,5
895	-26,3
896	-26,3
897	-24,7
898	-27,1
899	-26,3
900	-26,5
901	-26,3
902	-26,9
903	-26,8
904	-26,8
905	-28,4
906	-26,3
907	-26,7
908	-27,0
909	-26,9
910	-26,5
911	-27,1
912	-26,1
913	-26,4
914	-26,3
915	-26,7
916	-26,1
917	-27,9
918	-24,5
919	-26,6
920	-26,3
921	-26,7
922	-26,7
923	-26,5
924	-26,3
925	-26,1
926	-26,9
927	-27,6
928	-26,4
929	-24,0
930	-23,8
931	-26,5
932	-26,4
933	-26,7
934	-26,1
935	-26,0
936	-26,2
937	-26,2
938	-25,9
939	-27,2
940	-26,4
941	-25,9
942	-25,9
943	-26,0
944	-26,1
945	-26,2
946	-26,2
947	-26,2
948	-26,1
949	-27,4
950	-27,6
951	-26,2
952	-26,0
953	-26,0
954	-26,4
955	-26,4
956	-26,2
957	-26,2
958	-26,1
959	-26,1
960	-26,0
961	-26,9
962	-26,3
963	-27,2
964	-27,1
965	-24,0
966	-23,7
967	-26,0
968	-26,0
969	-26,7
970	-24,3
971	-26,2
972	-26,2
973	-26,9
974	-26,2
975	-27,3
976	-26,2
977	-26,3
978	-26,0
979	-26,1
980	-26,6
981	-26,5
982	-27,6
983	-27,5
984	-26,2
985	-26,1
986	-26,3
987	-26,3
988	-26,7
989	-26,3
990	-26,5
991	-26,5
992	-27,5
993	-26,3
994	-26,1
995	-26,0
996	-25,0
997	-25,0
998	-26,3
999	-26,5
1000	-26,2
