# E [eV]	n [1/s]
1.081000000000000050e+01	0.000000000000000000e+00
1.086999999999999922e+01	0.000000000000000000e+00
1.093999999999999950e+01	0.000000000000000000e+00
1.100999999999999979e+01	0.000000000000000000e+00
1.107000000000000028e+01	0.000000000000000000e+00
1.114000000000000057e+01	0.000000000000000000e+00
1.121000000000000085e+01	1.000000000000000000e+00
1.126999999999999957e+01	1.000000000000000000e+00
1.133999999999999986e+01	1.000000000000000000e+00
1.141000000000000014e+01	1.000000000000000000e+00
1.147000000000000064e+01	0.000000000000000000e+00
1.153999999999999915e+01	0.000000000000000000e+00
1.160999999999999943e+01	1.000000000000000000e+00
1.166999999999999993e+01	0.000000000000000000e+00
1.174000000000000021e+01	0.000000000000000000e+00
1.181000000000000050e+01	0.000000000000000000e+00
1.186999999999999922e+01	2.000000000000000000e+00
1.193999999999999950e+01	0.000000000000000000e+00
1.200999999999999979e+01	0.000000000000000000e+00
1.207000000000000028e+01	0.000000000000000000e+00
1.214000000000000057e+01	0.000000000000000000e+00
1.221000000000000085e+01	0.000000000000000000e+00
1.226999999999999957e+01	1.000000000000000000e+00
1.233999999999999986e+01	0.000000000000000000e+00
1.241000000000000014e+01	0.000000000000000000e+00
1.247000000000000064e+01	0.000000000000000000e+00
1.253999999999999915e+01	0.000000000000000000e+00
1.260999999999999943e+01	1.000000000000000000e+00
1.266999999999999993e+01	0.000000000000000000e+00
1.274000000000000021e+01	0.000000000000000000e+00
1.281000000000000050e+01	1.000000000000000000e+00
1.286999999999999922e+01	1.000000000000000000e+00
1.293999999999999950e+01	0.000000000000000000e+00
1.300999999999999979e+01	0.000000000000000000e+00
1.307000000000000028e+01	1.000000000000000000e+00
1.314000000000000057e+01	2.000000000000000000e+00
1.321000000000000085e+01	0.000000000000000000e+00
1.326999999999999957e+01	0.000000000000000000e+00
1.333999999999999986e+01	1.000000000000000000e+00
1.341000000000000014e+01	0.000000000000000000e+00
1.347000000000000064e+01	1.000000000000000000e+00
1.353999999999999915e+01	0.000000000000000000e+00
1.360999999999999943e+01	0.000000000000000000e+00
1.366999999999999993e+01	1.000000000000000000e+00
1.374000000000000021e+01	0.000000000000000000e+00
1.381000000000000050e+01	0.000000000000000000e+00
1.386999999999999922e+01	1.000000000000000000e+00
1.393999999999999950e+01	2.000000000000000000e+00
1.400999999999999979e+01	0.000000000000000000e+00
1.407000000000000028e+01	0.000000000000000000e+00
1.414000000000000057e+01	1.000000000000000000e+00
1.421000000000000085e+01	0.000000000000000000e+00
1.426999999999999957e+01	0.000000000000000000e+00
1.433999999999999986e+01	1.000000000000000000e+00
1.441000000000000014e+01	0.000000000000000000e+00
1.447000000000000064e+01	0.000000000000000000e+00
1.453999999999999915e+01	1.000000000000000000e+00
1.460999999999999943e+01	2.000000000000000000e+00
1.466999999999999993e+01	0.000000000000000000e+00
1.474000000000000021e+01	1.000000000000000000e+00
1.481000000000000050e+01	0.000000000000000000e+00
1.486999999999999922e+01	0.000000000000000000e+00
1.493999999999999950e+01	1.000000000000000000e+00
1.500999999999999979e+01	1.000000000000000000e+00
1.507000000000000028e+01	0.000000000000000000e+00
1.514000000000000057e+01	0.000000000000000000e+00
1.521000000000000085e+01	0.000000000000000000e+00
1.526999999999999957e+01	1.000000000000000000e+00
1.533999999999999986e+01	0.000000000000000000e+00
1.541000000000000014e+01	0.000000000000000000e+00
1.547000000000000064e+01	0.000000000000000000e+00
1.553999999999999915e+01	1.000000000000000000e+00
1.560999999999999943e+01	1.000000000000000000e+00
1.566999999999999993e+01	0.000000000000000000e+00
1.574000000000000021e+01	0.000000000000000000e+00
1.581000000000000050e+01	2.000000000000000000e+00
1.586999999999999922e+01	1.000000000000000000e+00
1.593999999999999950e+01	0.000000000000000000e+00
1.601000000000000156e+01	1.000000000000000000e+00
1.607000000000000028e+01	2.000000000000000000e+00
1.614000000000000057e+01	1.000000000000000000e+00
1.621000000000000085e+01	1.000000000000000000e+00
1.626999999999999957e+01	1.000000000000000000e+00
1.633999999999999986e+01	1.000000000000000000e+00
1.641000000000000014e+01	2.000000000000000000e+00
1.646999999999999886e+01	2.000000000000000000e+00
1.653999999999999915e+01	3.000000000000000000e+00
1.660999999999999943e+01	3.000000000000000000e+00
1.667000000000000171e+01	2.000000000000000000e+00
1.673999999999999844e+01	1.000000000000000000e+00
1.680999999999999872e+01	2.000000000000000000e+00
1.687000000000000099e+01	1.000000000000000000e+00
1.694000000000000128e+01	8.000000000000000000e+00
1.701000000000000156e+01	3.000000000000000000e+00
1.707000000000000028e+01	1.000000000000000000e+00
1.714000000000000057e+01	2.000000000000000000e+00
1.721000000000000085e+01	1.000000000000000000e+00
1.726999999999999957e+01	4.000000000000000000e+00
1.733999999999999986e+01	5.000000000000000000e+00
1.741000000000000014e+01	7.000000000000000000e+00
1.746999999999999886e+01	7.000000000000000000e+00
1.753999999999999915e+01	1.000000000000000000e+00
1.760999999999999943e+01	6.000000000000000000e+00
1.767000000000000171e+01	1.000000000000000000e+00
1.773999999999999844e+01	1.000000000000000000e+00
1.780999999999999872e+01	0.000000000000000000e+00
1.787000000000000099e+01	4.000000000000000000e+00
1.794000000000000128e+01	1.000000000000000000e+00
1.801000000000000156e+01	1.000000000000000000e+00
1.807000000000000028e+01	1.000000000000000000e+00
1.814000000000000057e+01	0.000000000000000000e+00
1.821000000000000085e+01	0.000000000000000000e+00
1.826999999999999957e+01	1.000000000000000000e+00
1.833999999999999986e+01	0.000000000000000000e+00
1.841000000000000014e+01	2.000000000000000000e+00
1.846999999999999886e+01	0.000000000000000000e+00
1.853999999999999915e+01	1.000000000000000000e+00
1.860999999999999943e+01	1.000000000000000000e+00
1.867000000000000171e+01	2.000000000000000000e+00
1.873999999999999844e+01	0.000000000000000000e+00
1.880999999999999872e+01	1.000000000000000000e+00
1.887000000000000099e+01	2.000000000000000000e+00
1.894000000000000128e+01	0.000000000000000000e+00
1.901000000000000156e+01	0.000000000000000000e+00
1.907000000000000028e+01	1.000000000000000000e+00
1.914000000000000057e+01	0.000000000000000000e+00
1.921000000000000085e+01	0.000000000000000000e+00
1.926999999999999957e+01	3.000000000000000000e+00
1.933999999999999986e+01	3.000000000000000000e+00
1.941000000000000014e+01	0.000000000000000000e+00
1.946999999999999886e+01	2.000000000000000000e+00
1.953999999999999915e+01	1.000000000000000000e+00
1.960999999999999943e+01	2.000000000000000000e+00
1.967000000000000171e+01	4.000000000000000000e+00
1.973999999999999844e+01	1.000000000000000000e+00
1.980999999999999872e+01	2.000000000000000000e+00
1.987000000000000099e+01	1.000000000000000000e+00
1.994000000000000128e+01	1.000000000000000000e+00
2.001000000000000156e+01	1.000000000000000000e+00
2.007000000000000028e+01	2.000000000000000000e+00
2.014000000000000057e+01	0.000000000000000000e+00
2.021000000000000085e+01	0.000000000000000000e+00
2.026999999999999957e+01	0.000000000000000000e+00
2.033999999999999986e+01	0.000000000000000000e+00
2.041000000000000014e+01	0.000000000000000000e+00
2.046999999999999886e+01	0.000000000000000000e+00
2.053999999999999915e+01	0.000000000000000000e+00
2.060999999999999943e+01	1.000000000000000000e+00
2.067000000000000171e+01	0.000000000000000000e+00
2.073999999999999844e+01	1.000000000000000000e+00
2.080999999999999872e+01	0.000000000000000000e+00
2.087000000000000099e+01	0.000000000000000000e+00
2.094000000000000128e+01	0.000000000000000000e+00
2.101000000000000156e+01	1.000000000000000000e+00
2.107000000000000028e+01	0.000000000000000000e+00
2.114000000000000057e+01	0.000000000000000000e+00
2.121000000000000085e+01	0.000000000000000000e+00
2.126999999999999957e+01	1.000000000000000000e+00
2.133999999999999986e+01	0.000000000000000000e+00
2.141000000000000014e+01	0.000000000000000000e+00
2.146999999999999886e+01	1.000000000000000000e+00
2.153999999999999915e+01	0.000000000000000000e+00
2.160999999999999943e+01	0.000000000000000000e+00
2.167000000000000171e+01	1.000000000000000000e+00
2.173999999999999844e+01	0.000000000000000000e+00
2.180999999999999872e+01	0.000000000000000000e+00
2.187000000000000099e+01	1.000000000000000000e+00
2.194000000000000128e+01	0.000000000000000000e+00
2.201000000000000156e+01	0.000000000000000000e+00
2.207000000000000028e+01	0.000000000000000000e+00
2.214000000000000057e+01	0.000000000000000000e+00
2.221000000000000085e+01	0.000000000000000000e+00
2.226999999999999957e+01	2.000000000000000000e+00
2.233999999999999986e+01	1.000000000000000000e+00
2.241000000000000014e+01	0.000000000000000000e+00
2.246999999999999886e+01	1.000000000000000000e+00
2.253999999999999915e+01	0.000000000000000000e+00
2.260999999999999943e+01	0.000000000000000000e+00
2.267000000000000171e+01	1.000000000000000000e+00
2.273999999999999844e+01	0.000000000000000000e+00
2.280999999999999872e+01	1.000000000000000000e+00
2.287000000000000099e+01	1.000000000000000000e+00
2.294000000000000128e+01	0.000000000000000000e+00
2.301000000000000156e+01	1.000000000000000000e+00
2.307000000000000028e+01	0.000000000000000000e+00
2.314000000000000057e+01	0.000000000000000000e+00
2.321000000000000085e+01	0.000000000000000000e+00
2.326999999999999957e+01	0.000000000000000000e+00
2.333999999999999986e+01	1.000000000000000000e+00
2.341000000000000014e+01	0.000000000000000000e+00
2.346999999999999886e+01	0.000000000000000000e+00
2.353999999999999915e+01	0.000000000000000000e+00
2.360999999999999943e+01	1.000000000000000000e+00
2.367000000000000171e+01	0.000000000000000000e+00
2.373999999999999844e+01	0.000000000000000000e+00
2.380999999999999872e+01	0.000000000000000000e+00
2.387000000000000099e+01	1.000000000000000000e+00
2.394000000000000128e+01	0.000000000000000000e+00
2.401000000000000156e+01	0.000000000000000000e+00
2.407000000000000028e+01	0.000000000000000000e+00
2.414000000000000057e+01	1.000000000000000000e+00
2.421000000000000085e+01	0.000000000000000000e+00
2.426999999999999957e+01	0.000000000000000000e+00
2.433999999999999986e+01	1.000000000000000000e+00
2.441000000000000014e+01	0.000000000000000000e+00
2.446999999999999886e+01	0.000000000000000000e+00
2.453999999999999915e+01	0.000000000000000000e+00
2.460999999999999943e+01	0.000000000000000000e+00
2.467000000000000171e+01	0.000000000000000000e+00
2.473999999999999844e+01	0.000000000000000000e+00
2.480999999999999872e+01	0.000000000000000000e+00
2.487000000000000099e+01	1.000000000000000000e+00
2.494000000000000128e+01	2.000000000000000000e+00
2.501000000000000156e+01	0.000000000000000000e+00
2.507000000000000028e+01	0.000000000000000000e+00
2.514000000000000057e+01	1.000000000000000000e+00
2.521000000000000085e+01	0.000000000000000000e+00
2.526999999999999957e+01	1.000000000000000000e+00
2.533999999999999986e+01	0.000000000000000000e+00
2.541000000000000014e+01	0.000000000000000000e+00
2.546999999999999886e+01	0.000000000000000000e+00
2.553999999999999915e+01	0.000000000000000000e+00
2.560999999999999943e+01	0.000000000000000000e+00
2.567000000000000171e+01	0.000000000000000000e+00
2.573999999999999844e+01	0.000000000000000000e+00
2.580999999999999872e+01	1.000000000000000000e+00
2.587000000000000099e+01	0.000000000000000000e+00
2.594000000000000128e+01	0.000000000000000000e+00
2.601000000000000156e+01	0.000000000000000000e+00
2.607000000000000028e+01	0.000000000000000000e+00
2.614000000000000057e+01	0.000000000000000000e+00
2.621000000000000085e+01	0.000000000000000000e+00
2.626999999999999957e+01	0.000000000000000000e+00
2.633999999999999986e+01	1.000000000000000000e+00
2.641000000000000014e+01	0.000000000000000000e+00
2.646999999999999886e+01	0.000000000000000000e+00
2.653999999999999915e+01	0.000000000000000000e+00
2.660999999999999943e+01	1.000000000000000000e+00
2.667000000000000171e+01	0.000000000000000000e+00
2.673999999999999844e+01	0.000000000000000000e+00
2.680999999999999872e+01	0.000000000000000000e+00
2.687000000000000099e+01	1.000000000000000000e+00
2.694000000000000128e+01	0.000000000000000000e+00
2.701000000000000156e+01	0.000000000000000000e+00
2.707000000000000028e+01	0.000000000000000000e+00
2.714000000000000057e+01	0.000000000000000000e+00
2.721000000000000085e+01	0.000000000000000000e+00
2.726999999999999957e+01	0.000000000000000000e+00
2.733999999999999986e+01	0.000000000000000000e+00
2.741000000000000014e+01	1.000000000000000000e+00
2.746999999999999886e+01	0.000000000000000000e+00
2.753999999999999915e+01	0.000000000000000000e+00
2.760999999999999943e+01	0.000000000000000000e+00
2.767000000000000171e+01	0.000000000000000000e+00
2.773999999999999844e+01	0.000000000000000000e+00
2.780999999999999872e+01	0.000000000000000000e+00
2.787000000000000099e+01	0.000000000000000000e+00
2.794000000000000128e+01	0.000000000000000000e+00
2.801000000000000156e+01	0.000000000000000000e+00
2.807000000000000028e+01	0.000000000000000000e+00
2.814000000000000057e+01	0.000000000000000000e+00
2.821000000000000085e+01	0.000000000000000000e+00
2.826999999999999957e+01	0.000000000000000000e+00
2.833999999999999986e+01	0.000000000000000000e+00
2.841000000000000014e+01	1.000000000000000000e+00
2.846999999999999886e+01	0.000000000000000000e+00
2.853999999999999915e+01	1.000000000000000000e+00
2.860999999999999943e+01	0.000000000000000000e+00
2.867000000000000171e+01	0.000000000000000000e+00
2.873999999999999844e+01	1.000000000000000000e+00
2.880999999999999872e+01	0.000000000000000000e+00
2.887000000000000099e+01	1.000000000000000000e+00
2.894000000000000128e+01	0.000000000000000000e+00
2.901000000000000156e+01	0.000000000000000000e+00
2.907000000000000028e+01	1.000000000000000000e+00
2.914000000000000057e+01	0.000000000000000000e+00
2.921000000000000085e+01	0.000000000000000000e+00
2.926999999999999957e+01	0.000000000000000000e+00
2.933999999999999986e+01	0.000000000000000000e+00
2.941000000000000014e+01	0.000000000000000000e+00
2.946999999999999886e+01	0.000000000000000000e+00
2.953999999999999915e+01	0.000000000000000000e+00
2.960999999999999943e+01	0.000000000000000000e+00
2.967000000000000171e+01	0.000000000000000000e+00
2.973999999999999844e+01	0.000000000000000000e+00
2.980999999999999872e+01	0.000000000000000000e+00
2.987000000000000099e+01	0.000000000000000000e+00
2.994000000000000128e+01	0.000000000000000000e+00
3.001000000000000156e+01	1.000000000000000000e+00
3.007000000000000028e+01	0.000000000000000000e+00
3.014000000000000057e+01	0.000000000000000000e+00
3.021000000000000085e+01	0.000000000000000000e+00
3.026999999999999957e+01	0.000000000000000000e+00
3.033999999999999986e+01	0.000000000000000000e+00
3.041000000000000014e+01	0.000000000000000000e+00
3.046999999999999886e+01	2.000000000000000000e+00
3.053999999999999915e+01	0.000000000000000000e+00
3.060999999999999943e+01	0.000000000000000000e+00
3.067000000000000171e+01	0.000000000000000000e+00
3.073999999999999844e+01	1.000000000000000000e+00
3.080999999999999872e+01	0.000000000000000000e+00
3.087000000000000099e+01	0.000000000000000000e+00
3.094000000000000128e+01	0.000000000000000000e+00
3.101000000000000156e+01	0.000000000000000000e+00
3.107000000000000028e+01	0.000000000000000000e+00
3.114000000000000057e+01	0.000000000000000000e+00
3.121000000000000085e+01	0.000000000000000000e+00
3.126999999999999957e+01	0.000000000000000000e+00
3.133999999999999986e+01	1.000000000000000000e+00
3.141000000000000014e+01	0.000000000000000000e+00
3.146999999999999886e+01	0.000000000000000000e+00
3.153999999999999915e+01	0.000000000000000000e+00
3.160999999999999943e+01	0.000000000000000000e+00
3.167000000000000171e+01	0.000000000000000000e+00
3.173999999999999844e+01	0.000000000000000000e+00
3.180999999999999872e+01	0.000000000000000000e+00
3.187000000000000099e+01	0.000000000000000000e+00
3.194000000000000128e+01	0.000000000000000000e+00
3.200999999999999801e+01	0.000000000000000000e+00
3.207000000000000028e+01	0.000000000000000000e+00
3.214000000000000057e+01	0.000000000000000000e+00
3.221000000000000085e+01	0.000000000000000000e+00
3.227000000000000313e+01	0.000000000000000000e+00
3.234000000000000341e+01	0.000000000000000000e+00
3.240999999999999659e+01	0.000000000000000000e+00
3.246999999999999886e+01	0.000000000000000000e+00
3.253999999999999915e+01	0.000000000000000000e+00
3.260999999999999943e+01	0.000000000000000000e+00
3.267000000000000171e+01	0.000000000000000000e+00
3.274000000000000199e+01	0.000000000000000000e+00
3.281000000000000227e+01	0.000000000000000000e+00
3.286999999999999744e+01	0.000000000000000000e+00
3.293999999999999773e+01	0.000000000000000000e+00
3.300999999999999801e+01	0.000000000000000000e+00
3.307000000000000028e+01	6.000000000000000000e+00
