SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Tue Jun 03 15:48:03 CEST 2014
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F03547
Integrationszeit (usec): 5000 (USB4F03547)
Spektren Durchschnitt berechnet: 800 (USB4F03547)
Boxcar Glättung: 0 (USB4F03547)
Dunkelstromkorrektur: Nein (USB4F03547)
Puls/Lampe aktiviert: Nein (USB4F03547)
Correct for Detector Non-linearity: Nein (USB4F03547)
Streulichtkorrektur: Nein (USB4F03547)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
179,21	8,63
179,43	8,63
179,64	8,63
179,86	6,82
180,07	10,64
180,29	6,43
180,50	8,56
180,72	9,36
180,93	7,79
181,15	8,07
181,37	8,22
181,58	7,49
181,80	7,35
182,01	10,22
182,23	7,62
182,44	10,34
182,66	5,39
182,87	5,74
183,09	20,79
183,30	29,94
183,52	26,58
183,73	28,03
183,95	27,03
184,16	28,36
184,38	29,21
184,60	26,83
184,81	30,13
185,03	26,76
185,24	23,33
185,46	27,71
185,67	28,76
185,89	26,50
186,10	25,94
186,32	25,84
186,53	23,16
186,75	28,23
186,96	26,16
187,18	23,26
187,39	25,10
187,61	24,69
187,82	24,30
188,04	27,05
188,25	26,06
188,47	25,94
188,68	26,24
188,90	25,38
189,11	23,70
189,33	27,43
189,54	27,45
189,76	26,12
189,97	27,68
190,19	27,62
190,40	25,15
190,62	24,50
190,83	27,65
191,05	20,67
191,26	25,53
191,48	27,95
191,69	27,93
191,91	24,13
192,12	23,55
192,34	25,03
192,55	23,81
192,77	25,78
192,98	24,08
193,20	28,40
193,41	26,53
193,63	23,71
193,84	25,12
194,06	25,48
194,27	25,22
194,49	24,08
194,70	27,18
194,92	25,24
195,13	25,12
195,35	27,97
195,56	28,83
195,78	27,52
195,99	24,53
196,21	26,39
196,42	25,68
196,64	24,81
196,85	24,14
197,07	23,40
197,28	23,54
197,50	27,42
197,71	25,54
197,93	26,80
198,14	26,35
198,36	27,98
198,57	23,83
198,79	23,29
199,00	29,43
199,21	26,66
199,43	27,06
199,64	26,27
199,86	29,75
