b [°]	n [1/s]
12,500	46,500
12,600	52,700
12,700	59,400
12,800	72,750
12,900	86,700
13,000	91,000
13,100	73,550
13,200	54,200
13,300	47,250
13,400	47,100
13,500	44,800
13,600	46,200
13,700	44,800
13,800	40,650
13,900	41,000
14,000	42,000
14,100	43,850
14,200	46,850
14,300	54,200
14,400	88,950
14,500	155,000
14,600	212,100
14,700	183,600
14,800	104,950
14,900	51,150
15,000	38,700
15,100	37,700
15,200	34,900
15,300	37,650
15,400	34,750
15,500	33,000
