E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_7 / keV	N_7
-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0
-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0
-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0
-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0
-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0
-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0
-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0
-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0
-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0
-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0
-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0
-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0
-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0
-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0
-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0
0,01	0	0,01	0	0,01	0	0,01	0	0,01	0	0,01	0	0,01	0
0,07	0	0,07	0	0,07	0	0,07	0	0,07	0	0,07	0	0,07	0
0,14	0	0,14	0	0,14	0	0,14	0	0,14	0	0,14	0	0,14	0
0,21	0	0,21	0	0,21	0	0,21	0	0,21	0	0,21	0	0,21	0
0,27	0	0,27	0	0,27	0	0,27	0	0,27	0	0,27	0	0,27	0
0,34	0	0,34	0	0,34	0	0,34	0	0,34	0	0,34	0	0,34	0
0,41	0	0,41	0	0,41	0	0,41	0	0,41	0	0,41	0	0,41	0
0,47	0	0,47	0	0,47	0	0,47	0	0,47	0	0,47	0	0,47	0
0,54	0	0,54	0	0,54	0	0,54	0	0,54	0	0,54	0	0,54	0
0,61	0	0,61	0	0,61	0	0,61	0	0,61	0	0,61	0	0,61	0
0,67	0	0,67	0	0,67	0	0,67	0	0,67	0	0,67	0	0,67	0
0,74	0	0,74	0	0,74	0	0,74	0	0,74	0	0,74	0	0,74	0
0,81	0	0,81	0	0,81	0	0,81	0	0,81	0	0,81	0	0,81	0
0,87	0	0,87	0	0,87	0	0,87	0	0,87	0	0,87	0	0,87	0
0,94	0	0,94	0	0,94	0	0,94	0	0,94	0	0,94	1	0,94	0
1,01	0	1,01	0	1,01	0	1,01	0	1,01	0	1,01	0	1,01	0
1,07	0	1,07	0	1,07	0	1,07	0	1,07	1	1,07	0	1,07	0
1,14	0	1,14	0	1,14	0	1,14	2	1,14	1	1,14	0	1,14	0
1,21	2	1,21	0	1,21	1	1,21	1	1,21	0	1,21	0	1,21	1
1,27	1	1,27	0	1,27	1	1,27	1	1,27	1	1,27	2	1,27	1
1,34	0	1,34	2	1,34	1	1,34	1	1,34	2	1,34	2	1,34	2
1,41	3	1,41	2	1,41	0	1,41	2	1,41	1	1,41	5	1,41	3
1,47	2	1,47	0	1,47	3	1,47	2	1,47	2	1,47	1	1,47	1
1,54	3	1,54	2	1,54	4	1,54	1	1,54	3	1,54	8	1,54	5
1,61	4	1,61	3	1,61	1	1,61	0	1,61	4	1,61	10	1,61	4
1,67	4	1,67	2	1,67	2	1,67	4	1,67	6	1,67	10	1,67	3
1,74	3	1,74	5	1,74	4	1,74	5	1,74	1	1,74	6	1,74	2
1,81	8	1,81	2	1,81	2	1,81	4	1,81	13	1,81	6	1,81	2
1,87	5	1,87	4	1,87	3	1,87	8	1,87	6	1,87	10	1,87	6
1,94	6	1,94	1	1,94	2	1,94	6	1,94	7	1,94	7	1,94	4
2,01	5	2,01	7	2,01	6	2,01	5	2,01	10	2,01	8	2,01	9
2,07	7	2,07	7	2,07	2	2,07	3	2,07	10	2,07	9	2,07	4
2,14	7	2,14	4	2,14	6	2,14	5	2,14	4	2,14	5	2,14	15
2,21	7	2,21	4	2,21	7	2,21	4	2,21	8	2,21	6	2,21	5
2,27	8	2,27	2	2,27	3	2,27	3	2,27	14	2,27	9	2,27	4
2,34	8	2,34	3	2,34	8	2,34	1	2,34	4	2,34	18	2,34	6
2,41	10	2,41	3	2,41	3	2,41	9	2,41	11	2,41	13	2,41	5
2,47	3	2,47	4	2,47	6	2,47	7	2,47	9	2,47	11	2,47	7
2,54	9	2,54	4	2,54	10	2,54	4	2,54	9	2,54	6	2,54	7
2,61	5	2,61	3	2,61	5	2,61	4	2,61	11	2,61	5	2,61	2
2,67	9	2,67	2	2,67	6	2,67	3	2,67	9	2,67	8	2,67	8
2,74	13	2,74	3	2,74	10	2,74	6	2,74	10	2,74	5	2,74	5
2,81	8	2,81	7	2,81	9	2,81	6	2,81	8	2,81	13	2,81	7
2,87	10	2,87	5	2,87	4	2,87	5	2,87	16	2,87	11	2,87	20
2,94	6	2,94	1	2,94	10	2,94	8	2,94	13	2,94	12	2,94	7
3,01	6	3,01	2	3,01	8	3,01	4	3,01	8	3,01	10	3,01	9
3,07	8	3,07	2	3,07	0	3,07	11	3,07	5	3,07	11	3,07	13
3,14	8	3,14	0	3,14	9	3,14	3	3,14	10	3,14	10	3,14	8
3,21	13	3,21	1	3,21	4	3,21	8	3,21	9	3,21	12	3,21	8
3,27	10	3,27	0	3,27	5	3,27	9	3,27	8	3,27	2	3,27	9
3,34	3	3,34	2	3,34	3	3,34	9	3,34	5	3,34	12	3,34	14
3,41	7	3,41	2	3,41	3	3,41	7	3,41	10	3,41	11	3,41	12
3,47	8	3,47	1	3,47	9	3,47	9	3,47	7	3,47	7	3,47	10
3,54	7	3,54	3	3,54	4	3,54	4	3,54	12	3,54	11	3,54	6
3,61	11	3,61	2	3,61	6	3,61	4	3,61	8	3,61	10	3,61	4
3,67	8	3,67	3	3,67	14	3,67	4	3,67	15	3,67	7	3,67	7
3,74	11	3,74	2	3,74	12	3,74	8	3,74	7	3,74	12	3,74	17
3,81	7	3,81	4	3,81	23	3,81	6	3,81	7	3,81	5	3,81	12
3,87	9	3,87	6	3,87	51	3,87	9	3,87	14	3,87	11	3,87	10
3,94	11	3,94	5	3,94	57	3,94	6	3,94	9	3,94	8	3,94	8
4,01	9	4,01	2	4,01	93	4,01	8	4,01	6	4,01	9	4,01	8
4,07	11	4,07	2	4,07	93	4,07	10	4,07	10	4,07	17	4,07	8
4,14	14	4,14	5	4,14	166	4,14	7	4,14	13	4,14	13	4,14	16
4,21	12	4,21	3	4,21	156	4,21	10	4,21	13	4,21	13	4,21	11
4,27	12	4,27	3	4,27	239	4,27	7	4,27	16	4,27	15	4,27	11
4,34	19	4,34	3	4,34	256	4,34	12	4,34	15	4,34	12	4,34	11
4,41	14	4,41	4	4,41	262	4,41	11	4,41	10	4,41	14	4,41	13
4,47	9	4,47	3	4,47	281	4,47	15	4,47	18	4,47	17	4,47	15
4,54	15	4,54	4	4,54	252	4,54	9	4,54	18	4,54	12	4,54	18
4,61	17	4,61	2	4,61	238	4,61	17	4,61	12	4,61	12	4,61	11
4,67	19	4,67	4	4,67	172	4,67	13	4,67	8	4,67	9	4,67	10
4,74	22	4,74	0	4,74	147	4,74	28	4,74	18	4,74	11	4,74	15
4,81	11	4,81	6	4,81	103	4,81	35	4,81	5	4,81	10	4,81	20
4,87	15	4,87	3	4,87	76	4,87	47	4,87	19	4,87	14	4,87	15
4,94	19	4,94	3	4,94	70	4,94	51	4,94	8	4,94	13	4,94	15
5,01	21	5,01	2	5,01	47	5,01	78	5,01	19	5,01	10	5,01	9
5,07	21	5,07	6	5,07	41	5,07	83	5,07	11	5,07	13	5,07	11
5,14	11	5,14	3	5,14	21	5,14	123	5,14	14	5,14	11	5,14	7
5,21	20	5,21	4	5,21	19	5,21	158	5,21	12	5,21	16	5,21	20
5,27	18	5,27	5	5,27	15	5,27	168	5,27	15	5,27	13	5,27	11
5,34	20	5,34	5	5,34	20	5,34	181	5,34	18	5,34	18	5,34	24
5,41	20	5,41	5	5,41	4	5,41	174	5,41	14	5,41	9	5,41	11
5,47	16	5,47	1	5,47	0	5,47	202	5,47	13	5,47	7	5,47	16
5,54	22	5,54	5	5,54	0	5,54	176	5,54	14	5,54	12	5,54	22
5,61	41	5,61	3	5,61	1	5,61	137	5,61	19	5,61	20	5,61	24
5,67	73	5,67	6	5,67	0	5,67	123	5,67	14	5,67	19	5,67	43
5,74	70	5,74	5	5,74	0	5,74	118	5,74	21	5,74	15	5,74	71
5,81	136	5,81	4	5,81	0	5,81	147	5,81	18	5,81	14	5,81	113
5,87	224	5,87	8	5,87	0	5,87	139	5,87	22	5,87	19	5,87	174
5,94	316	5,94	4	5,94	0	5,94	194	5,94	21	5,94	10	5,94	251
6,01	464	6,01	4	6,01	1	6,01	220	6,01	31	6,01	14	6,01	343
6,07	570	6,07	7	6,07	0	6,07	271	6,07	21	6,07	24	6,07	468
6,14	714	6,14	6	6,14	0	6,14	334	6,14	22	6,14	20	6,14	609
6,21	904	6,21	8	6,21	0	6,21	421	6,21	26	6,21	22	6,21	714
6,27	1066	6,27	7	6,27	0	6,27	433	6,27	32	6,27	23	6,27	857
6,34	1139	6,34	12	6,34	1	6,34	555	6,34	31	6,34	26	6,34	919
6,41	1179	6,41	9	6,41	0	6,41	519	6,41	23	6,41	29	6,41	975
6,47	1243	6,47	9	6,47	1	6,47	548	6,47	32	6,47	28	6,47	999
6,54	1074	6,54	11	6,54	0	6,54	479	6,54	22	6,54	25	6,54	869
6,61	935	6,61	8	6,61	0	6,61	413	6,61	24	6,61	26	6,61	752
6,67	648	6,67	10	6,67	1	6,67	299	6,67	29	6,67	24	6,67	555
6,74	465	6,74	9	6,74	0	6,74	233	6,74	33	6,74	19	6,74	433
6,81	342	6,81	8	6,81	0	6,81	139	6,81	27	6,81	26	6,81	303
6,87	256	6,87	9	6,87	2	6,87	129	6,87	22	6,87	25	6,87	238
6,94	235	6,94	10	6,94	0	6,94	103	6,94	28	6,94	25	6,94	206
7,01	215	7,01	7	7,01	1	7,01	91	7,01	33	7,01	29	7,01	194
7,07	199	7,07	7	7,07	0	7,07	111	7,07	36	7,07	26	7,07	160
7,14	182	7,14	8	7,14	0	7,14	96	7,14	32	7,14	41	7,14	162
7,21	156	7,21	10	7,21	1	7,21	114	7,21	29	7,21	45	7,21	134
7,27	133	7,27	9	7,27	0	7,27	91	7,27	51	7,27	59	7,27	127
7,34	107	7,34	9	7,34	1	7,34	72	7,34	67	7,34	66	7,34	98
7,41	63	7,41	9	7,41	2	7,41	68	7,41	118	7,41	116	7,41	63
7,47	41	7,47	11	7,47	0	7,47	71	7,47	162	7,47	164	7,47	40
7,54	17	7,54	5	7,54	0	7,54	48	7,54	228	7,54	201	7,54	22
7,61	7	7,61	3	7,61	1	7,61	47	7,61	361	7,61	275	7,61	19
7,67	6	7,67	12	7,67	0	7,67	39	7,67	496	7,67	445	7,67	12
7,74	7	7,74	4	7,74	0	7,74	30	7,74	618	7,74	563	7,74	11
7,81	0	7,81	6	7,81	1	7,81	20	7,81	838	7,81	618	7,81	12
7,87	1	7,87	5	7,87	0	7,87	16	7,87	926	7,87	813	7,87	9
7,94	3	7,94	5	7,94	0	7,94	6	7,94	1146	7,94	962	7,94	16
8,01	0	8,01	3	8,01	0	8,01	15	8,01	1269	8,01	1145	8,01	21
8,07	3	8,07	3	8,07	0	8,07	12	8,07	1395	8,07	1213	8,07	43
8,14	0	8,14	6	8,14	0	8,14	8	8,14	1296	8,14	1186	8,14	56
8,21	1	8,21	5	8,21	0	8,21	9	8,21	1315	8,21	1187	8,21	84
8,27	0	8,27	5	8,27	1	8,27	3	8,27	1227	8,27	1101	8,27	107
8,34	1	8,34	4	8,34	0	8,34	8	8,34	1113	8,34	1062	8,34	141
8,41	0	8,41	8	8,41	0	8,41	7	8,41	958	8,41	988	8,41	179
8,47	0	8,47	6	8,47	1	8,47	7	8,47	905	8,47	918	8,47	242
8,54	1	8,54	7	8,54	0	8,54	2	8,54	979	8,54	933	8,54	265
8,61	0	8,61	8	8,61	0	8,61	0	8,61	942	8,61	936	8,61	268
8,67	0	8,67	2	8,67	0	8,67	4	8,67	993	8,67	952	8,67	349
8,74	0	8,74	4	8,74	0	8,74	1	8,74	960	8,74	993	8,74	261
8,81	2	8,81	3	8,81	0	8,81	3	8,81	850	8,81	848	8,81	270
8,87	0	8,87	3	8,87	1	8,87	0	8,87	781	8,87	703	8,87	206
8,94	0	8,94	3	8,94	0	8,94	2	8,94	631	8,94	655	8,94	168
9,01	0	9,01	5	9,01	1	9,01	1	9,01	509	9,01	461	9,01	135
9,07	0	9,07	3	9,07	0	9,07	1	9,07	352	9,07	351	9,07	83
9,14	0	9,14	5	9,14	0	9,14	1	9,14	267	9,14	245	9,14	52
9,21	0	9,21	8	9,21	0	9,21	1	9,21	173	9,21	167	9,21	39
9,27	1	9,27	5	9,27	1	9,27	0	9,27	144	9,27	122	9,27	25
9,34	0	9,34	14	9,34	0	9,34	0	9,34	71	9,34	83	9,34	21
9,41	0	9,41	14	9,41	0	9,41	2	9,41	61	9,41	64	9,41	27
9,47	0	9,47	19	9,47	0	9,47	4	9,47	62	9,47	55	9,47	26
9,54	0	9,54	21	9,54	1	9,54	0	9,54	51	9,54	63	9,54	33
9,61	0	9,61	23	9,61	0	9,61	1	9,61	42	9,61	72	9,61	41
9,67	1	9,67	17	9,67	1	9,67	1	9,67	43	9,67	44	9,67	52
9,74	3	9,74	21	9,74	4	9,74	1	9,74	38	9,74	50	9,74	41
9,81	3	9,81	30	9,81	1	9,81	1	9,81	37	9,81	31	9,81	24
9,87	3	9,87	22	9,87	0	9,87	0	9,87	30	9,87	30	9,87	27
9,94	0	9,94	20	9,94	1	9,94	0	9,94	19	9,94	24	9,94	13
10,01	1	10,01	13	10,01	0	10,01	1	10,01	13	10,01	21	10,01	9
10,07	2	10,07	23	10,07	1	10,07	2	10,07	4	10,07	17	10,07	7
10,14	1	10,14	11	10,14	1	10,14	0	10,14	5	10,14	12	10,14	6
10,21	0	10,21	8	10,21	0	10,21	0	10,21	3	10,21	10	10,21	2
10,27	1	10,27	10	10,27	0	10,27	0	10,27	1	10,27	10	10,27	2
10,34	0	10,34	9	10,34	0	10,34	0	10,34	1	10,34	7	10,34	2
10,41	4	10,41	7	10,41	0	10,41	2	10,41	1	10,41	7	10,41	0
10,47	2	10,47	6	10,47	0	10,47	1	10,47	2	10,47	11	10,47	0
